Xception, PCA, PCC, 1, '(342, 204800)', No, '(342, 24)', 24, 80.0, 78.78787878787877, 80.83333333333333, 44.587591886520386, 1.2284297943115234, 0, 2.750899076461792, 
Xception, PCA, PCC, 2, '(342, 204800)', No, '(342, 24)', 24, 85.71428571428571, 81.48148148148148, 87.13768115942028, 44.587591886520386, 1.2284297943115234, 0, 2.8771750926971436, 
Xception, PCA, PCC, 3, '(342, 204800)', No, '(342, 24)', 24, 79.41176470588235, 80.0, 79.41176470588235, 44.587591886520386, 1.2284297943115234, 0, 2.4281346797943115, 
Xception, PCA, PCC, 4, '(342, 204800)', No, '(342, 24)', 24, 79.41176470588235, 84.44444444444444, 76.07142857142856, 44.587591886520386, 1.2284297943115234, 0, 2.844207763671875, 
Xception, PCA, PCC, 5, '(342, 204800)', No, '(342, 24)', 24, 88.23529411764706, 88.88888888888889, 88.23529411764706, 44.587591886520386, 1.2284297943115234, 0, 2.8116354942321777, 
Xception, PCA, PCC, 6, '(342, 204800)', No, '(342, 24)', 24, 88.23529411764706, 88.88888888888889, 88.19444444444444, 44.587591886520386, 1.2284297943115234, 0, 2.092742919921875, 
Xception, PCA, PCC, 7, '(342, 204800)', No, '(342, 24)', 24, 73.52941176470588, 74.28571428571428, 73.52941176470587, 44.587591886520386, 1.2284297943115234, 0, 3.8926310539245605, 
Xception, PCA, PCC, 8, '(342, 204800)', No, '(342, 24)', 24, 79.41176470588235, 82.92682926829269, 78.47222222222221, 44.587591886520386, 1.2284297943115234, 0, 1.5801823139190674, 
Xception, PCA, PCC, 9, '(342, 204800)', No, '(342, 24)', 24, 85.29411764705883, 87.8048780487805, 86.74242424242425, 44.587591886520386, 1.2284297943115234, 0, 3.4126405715942383, 
Xception, PCA, PCC, 10, '(342, 204800)', No, '(342, 24)', 24, 88.23529411764706, 90.47619047619047, 86.66666666666667, 44.587591886520386, 1.2284297943115234, 0, 2.2223737239837646, 
Xception, PCA, PCC, 1, '(342, 204800)', No, '(342, 24)', 24, 80.0, 78.78787878787877, 80.83333333333333, 46.621193170547485, 1.2375850677490234, 0, 2.8325464725494385, 
Xception, PCA, PCC, 2, '(342, 204800)', No, '(342, 24)', 24, 85.71428571428571, 81.48148148148148, 87.13768115942028, 46.621193170547485, 1.2375850677490234, 0, 2.949347734451294, 
Xception, PCA, PCC, 3, '(342, 204800)', No, '(342, 24)', 24, 79.41176470588235, 80.0, 79.41176470588235, 46.621193170547485, 1.2375850677490234, 0, 2.4991586208343506, 
Xception, PCA, PCC, 4, '(342, 204800)', No, '(342, 24)', 24, 79.41176470588235, 84.44444444444444, 76.07142857142856, 46.621193170547485, 1.2375850677490234, 0, 2.793112277984619, 
Xception, PCA, PCC, 5, '(342, 204800)', No, '(342, 24)', 24, 88.23529411764706, 88.88888888888889, 88.23529411764706, 46.621193170547485, 1.2375850677490234, 0, 2.9163267612457275, 
Xception, PCA, PCC, 6, '(342, 204800)', No, '(342, 24)', 24, 88.23529411764706, 88.88888888888889, 88.19444444444444, 46.621193170547485, 1.2375850677490234, 0, 2.1280415058135986, 
Xception, PCA, PCC, 7, '(342, 204800)', No, '(342, 24)', 24, 73.52941176470588, 74.28571428571428, 73.52941176470587, 46.621193170547485, 1.2375850677490234, 0, 4.025099992752075, 
Xception, PCA, PCC, 8, '(342, 204800)', No, '(342, 24)', 24, 79.41176470588235, 82.92682926829269, 78.47222222222221, 46.621193170547485, 1.2375850677490234, 0, 1.6603286266326904, 
Xception, PCA, PCC, 9, '(342, 204800)', No, '(342, 24)', 24, 85.29411764705883, 87.8048780487805, 86.74242424242425, 46.621193170547485, 1.2375850677490234, 0, 3.554504871368408, 
Xception, PCA, PCC, 10, '(342, 204800)', No, '(342, 24)', 24, 88.23529411764706, 90.47619047619047, 86.66666666666667, 46.621193170547485, 1.2375850677490234, 0, 2.361690044403076, 
Xception, PCA, PCC, 1, '(342, 204800)', No, '(342, 24)', 24, 80.0, 78.78787878787877, 80.83333333333333, 49.24044871330261, 1.2525303363800049, 0, 2.8224613666534424, 
Xception, PCA, PCC, 2, '(342, 204800)', No, '(342, 24)', 24, 85.71428571428571, 81.48148148148148, 87.13768115942028, 49.24044871330261, 1.2525303363800049, 0, 2.923825263977051, 
Xception, PCA, PCC, 3, '(342, 204800)', No, '(342, 24)', 24, 79.41176470588235, 80.0, 79.41176470588235, 49.24044871330261, 1.2525303363800049, 0, 2.429713010787964, 
Xception, PCA, PCC, 4, '(342, 204800)', No, '(342, 24)', 24, 79.41176470588235, 84.44444444444444, 76.07142857142856, 49.24044871330261, 1.2525303363800049, 0, 2.872577667236328, 
Xception, PCA, PCC, 5, '(342, 204800)', No, '(342, 24)', 24, 88.23529411764706, 88.88888888888889, 88.23529411764706, 49.24044871330261, 1.2525303363800049, 0, 2.860243320465088, 
Xception, PCA, PCC, 6, '(342, 204800)', No, '(342, 24)', 24, 88.23529411764706, 88.88888888888889, 88.19444444444444, 49.24044871330261, 1.2525303363800049, 0, 2.0968198776245117, 
Xception, PCA, PCC, 7, '(342, 204800)', No, '(342, 24)', 24, 73.52941176470588, 74.28571428571428, 73.52941176470587, 49.24044871330261, 1.2525303363800049, 0, 3.8065061569213867, 
Xception, PCA, PCC, 8, '(342, 204800)', No, '(342, 24)', 24, 79.41176470588235, 82.92682926829269, 78.47222222222221, 49.24044871330261, 1.2525303363800049, 0, 1.6142263412475586, 
Xception, PCA, PCC, 9, '(342, 204800)', No, '(342, 24)', 24, 85.29411764705883, 87.8048780487805, 86.74242424242425, 49.24044871330261, 1.2525303363800049, 0, 3.409471035003662, 
Xception, PCA, PCC, 10, '(342, 204800)', No, '(342, 24)', 24, 88.23529411764706, 90.47619047619047, 86.66666666666667, 49.24044871330261, 1.2525303363800049, 0, 2.103832721710205, 
