;ACC1;ACC2;ACC3;ACC4;ACC5;ACC6;ACC7;ACC8;ACC9;ACC10
Xception         ;0,8857;1;0,8529;0,8824;0,9706;0,8529;0,9118;0,9118;0,9412;0,9412
VGG16            ;0,7714;0,9714;0,8824;0,8529;0,9412;0,9118;0,8529;0,9412;0,8824;0,8235
VGG19            ;0,8;0,9429;0,9412;0,8529;0,9118;0,8529;0,8824;0,8235;0,8529;0,8824
ResNet50         ;0,6286;0,9429;0,8529;0,8824;0,9706;0,8235;0,9412;0,8824;0,8824;0,8824
ResNet101        ;0,7429;0,9429;0,8235;0,8235;0,8529;0,8529;0,8235;0,8529;0,8235;0,8824
ResNet152        ;0,8286;0,8857;0,7353;0,9118;0,8824;0,8529;0,9412;0,9118;0,7941;0,8529
ResNet50V2       ;0,6;0,9143;0,8824;0,9118;0,8824;0,8824;0,8529;0,9412;0,9412;0,8529
ResNet101V2      ;0,6;0,8286;0,8529;0,8235;0,8824;0,8529;0,8824;0,8529;0,9118;0,8235
ResNet152V2      ;0,7143;0,9143;0,7941;0,8824;0,9118;0,7941;0,7941;0,8824;0,9706;0,8235
InceptionV3      ;0,9143;0,9714;0,9706;0,9118;0,9412;0,8529;0,8824;0,9118;0,9412;0,9118
InceptionResNetV2;0,8857;0,9143;0,8235;0,7941;0,9706;0,8529;0,9412;0,8235;0,8824;0,8529
MobileNet        ;0,8857;0,8857;0,8235;0,9412;0,9706;0,9118;0,9412;0,8824;0,9412;0,7647
DenseNet121      ;0,8857;0,9143;0,8824;0,9118;0,8824;0,9118;0,8824;0,9118;0,8824;0,8529
DenseNet169      ;0,8571;0,9143;0,8824;0,8824;0,9412;0,8529;0,9118;0,9118;0,8824;0,8529
DenseNet201      ;0,9429;0,9714;0,9412;0,9412;0,9412;0,9118;0,9118;0,8824;0,9412;0,9412
NasNetMobile     ;0,5143;0,6286;0,8824;0,5;0,5;0,6176;0,6176;0,6471;0,5294;0,8235
MobileNetV2      ;0,4857;0,7714;0,7059;0,8824;0,9118;0,8529;0,8235;0,8529;0,8235;0,7941
EfficientNetB0   ;0,8857;1;0,8824;0,9412;0,9118;0,9118;0,8824;0,9118;0,9118;0,9412
EfficientNetB1   ;0,9143;0,9143;0,8529;0,9706;0,9118;0,9118;0,8529;0,8529;0,8824;0,8824
EfficientNetB2   ;0,9429;0,8286;0,8824;0,9412;0,8824;0,8529;0,9412;0,9412;0,8529;0,9118
EfficientNetB3   ;0,9429;0,9143;0,9118;0,9118;0,8529;0,8824;0,9412;0,8824;0,9118;0,9118
EfficientNetB4   ;0,9714;0,9429;0,8824;0,9118;0,8529;0,8529;0,8529;0,8235;0,8235;0,8529
