FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_F1Score,KFold02_F1Score,KFold03_F1Score,KFold04_F1Score,KFold05_F1Score,KFold06_F1Score,KFold07_F1Score,KFold08_F1Score,KFold09_F1Score,KFold10_F1Score,F1Score_Mean,F1Score_SD
Xception,PCA,No,300,PCC,0.6486,0.6471,0.7273,0.7907,0.7692,0.7647,0.7647,0.8649,0.6829,0.7805,0.7441,0.0649
Xception,PCA,No,300,J48,0.7097,0.7143,0.5789,0.6667,0.5455,0.5625,0.5641,0.6842,0.6667,0.5714,0.6264,0.0641
Xception,PCA,No,300,RBF,0.7333,0.8276,0.9143,0.8571,0.8485,0.9143,0.8485,0.8889,0.9302,0.8649,0.8628,0.0538
Xception,PCA,No,300,LinearSVM,0.8387,0.8276,0.8235,0.9302,0.8889,0.8947,0.8571,0.973,0.8837,0.8571,0.8775,0.0448
Xception,PCA,No,300,MLP,0.6857,0.4737,0.6829,0.5714,0.55,0.7143,0.6286,0.6667,0.7391,0.85,0.6562,0.101
Xception,PCA,No,300,Logistic,0.8387,0.8276,0.8889,0.9302,0.8889,0.9444,0.8824,0.9474,0.8837,0.8947,0.8927,0.038
Xception,PCA,No,300,RandomForest,0.6667,0.8462,0.7907,0.7568,0.9091,0.7429,0.6857,0.8235,0.8182,0.7368,0.7776,0.0707
Xception,PCA,No,300,Adaboost,0.7429,0.6897,0.7059,0.8182,0.9189,0.75,0.7879,0.8947,0.7907,0.7059,0.7805,0.0745
Xception,PCA,No,300,Gaussian,0.5806,0.7143,0.75,0.7027,0.6667,0.6857,0.7222,0.6875,0.7907,0.6829,0.6983,0.0524
Xception,UMAP,No,300,PCC,0.8485,0.8148,0.7647,0.8293,0.7778,0.7568,0.7647,0.8421,0.8,0.8235,0.8022,0.0325
Xception,UMAP,No,300,J48,0.7273,0.7333,0.7879,0.75,0.7059,0.7778,0.8,0.7647,0.7143,0.8108,0.7572,0.0348
Xception,UMAP,No,300,RBF,0.6087,0.5333,0.6,0.6667,0.625,0.7333,0.7059,0.7647,0.3333,0.6471,0.6218,0.1159
Xception,UMAP,No,300,LinearSVM,0.6452,0.8,0.5714,0.7895,0.5714,0.6667,0.7143,0.7097,0.5,0.6452,0.6613,0.0914
Xception,UMAP,No,300,MLP,0.6316,0.5789,0.6207,0.6667,0.68,0.6531,0.6667,0.6923,0,0.7429,0.5933,0.2021
Xception,UMAP,No,300,Logistic,0.7273,0.8,0.6,0.8,0.7097,0.7097,0.8387,0.8108,0.5294,0.7778,0.7303,0.094
Xception,UMAP,No,300,RandomForest,0.8,0.8276,0.8333,0.8261,0.8333,0.8108,0.8,0.8889,0.8095,0.8333,0.8263,0.0244
Xception,UMAP,No,300,Adaboost,0.8125,0.7143,0.7273,0.8837,0.8649,0.7273,0.8,0.8649,0.75,0.7647,0.7909,0.0604
Xception,UMAP,No,300,Gaussian,0.6667,0.7692,0.7429,0.8293,0.7273,0.7879,0.7097,0.75,0.7317,0.8205,0.7535,0.0473
VGG16,PCA,No,300,PCC,0.5238,0.4737,0.6047,0.6154,0.7179,0.7619,0.7143,0.5789,0.7111,0.6,0.6302,0.0888
VGG16,PCA,No,300,J48,0.5806,0.7273,0.7027,0.7568,0.6,0.5625,0.625,0.7778,0.6341,0.7222,0.6689,0.0735
VGG16,PCA,No,300,RBF,0.7742,0.7586,0.8889,0.8095,0.8125,0.8889,0.8889,0.8485,0.9268,0.9444,0.8541,0.0603
VGG16,PCA,No,300,LinearSVM,0.8824,0.7333,0.8824,0.8571,0.9412,0.9444,0.8205,0.8485,0.9048,0.8333,0.8648,0.0591
VGG16,PCA,No,300,MLP,0.5641,0.6061,0.7,0.8261,0.6452,0.5714,0.5366,0.7143,0.6977,0.619,0.648,0.0832
VGG16,PCA,No,300,Logistic,0.8571,0.7097,0.8333,0.8372,0.9412,0.9444,0.8718,0.8824,0.9302,0.8947,0.8702,0.0658
VGG16,PCA,No,300,RandomForest,0.5161,0.6207,0.8824,0.8108,0.5806,0.7059,0.6857,0.8125,0.7568,0.7027,0.7074,0.1074
VGG16,PCA,No,300,Adaboost,0.5455,0.6667,0.7895,0.8205,0.6061,0.8571,0.8485,0.7273,0.8293,0.7368,0.7427,0.1018
VGG16,PCA,No,300,Gaussian,0.5,0.6429,0.7895,0.75,0.5161,0.7059,0.6286,0.7273,0.7222,0.6341,0.6617,0.0914
VGG16,UMAP,No,300,PCC,0.6875,0.8,0.8205,0.8182,0.7742,0.6667,0.6061,0.8,0.7727,0.7222,0.7468,0.0693
VGG16,UMAP,No,300,J48,0.5,0.6,0.6,0.8095,0.7059,0.6667,0.6875,0.7059,0.6667,0.6452,0.6587,0.0777
VGG16,UMAP,No,300,RBF,0.6,0.5106,0.6667,0.7407,0.6667,0.6923,0.6667,0.6923,0,0.717,0.5953,0.2078
VGG16,UMAP,No,300,LinearSVM,0.5946,0.6316,0.8,0.7442,0.7097,0.7442,0.5625,0.7317,0.7442,0.7,0.6963,0.0718
VGG16,UMAP,No,300,MLP,0.6111,0.5106,0.625,0.4444,0.5882,0.6286,0.6383,0.6923,0.4516,0.6667,0.5857,0.0826
VGG16,UMAP,No,300,Logistic,0.6471,0.7097,0.7692,0.8,0.6875,0.7027,0.6061,0.6842,0.8182,0.6842,0.7109,0.0632
VGG16,UMAP,No,300,RandomForest,0.7333,0.8571,0.7222,0.8182,0.6452,0.6667,0.6667,0.7027,0.8372,0.6667,0.7316,0.0745
VGG16,UMAP,No,300,Adaboost,0.5333,0.6667,0.7778,0.75,0.625,0.6316,0.5882,0.6286,0.7619,0.6857,0.6649,0.0755
VGG16,UMAP,No,300,Gaussian,0.7333,0.75,0.7429,0.7805,0.7143,0.6471,0.5161,0.6875,0.8444,0.6486,0.7065,0.0848
VGG19,PCA,No,300,PCC,0.5854,0.5128,0.55,0.6809,0.8,0.619,0.6667,0.6512,0.6047,0.6829,0.6353,0.0766
VGG19,PCA,No,300,J48,0.5517,0.7143,0.8125,0.7179,0.6857,0.8,0.7179,0.7027,0.8,0.7027,0.7206,0.0718
VGG19,PCA,No,300,RBF,0.7333,0.7857,0.9143,0.8205,0.6897,0.8235,0.8889,0.8824,0.9302,0.8889,0.8357,0.0759
VGG19,PCA,No,300,LinearSVM,0.8387,0.8,0.8824,0.8095,0.8485,0.8824,0.9444,0.9189,0.9048,0.8,0.863,0.0488
VGG19,PCA,No,300,MLP,0.5854,0.6061,0.6512,0.75,0.7568,0.6977,0.6667,0.6977,0.7347,0.6,0.6746,0.06
VGG19,PCA,No,300,Logistic,0.8125,0.8276,0.9143,0.8571,0.8485,0.8824,0.9444,0.9189,0.9302,0.7805,0.8716,0.0523
VGG19,PCA,No,300,RandomForest,0.5,0.6207,0.8485,0.7692,0.5806,0.8485,0.7097,0.8125,0.8421,0.7895,0.7321,0.1183
VGG19,PCA,No,300,Adaboost,0.5217,0.6897,0.8421,0.8095,0.6857,0.7429,0.7222,0.7568,0.8636,0.75,0.7384,0.0918
VGG19,PCA,No,300,Gaussian,0.4667,0.5806,0.7692,0.6829,0.5333,0.75,0.6667,0.6875,0.8205,0.6341,0.6592,0.1037
VGG19,UMAP,No,300,PCC,0.6667,0.7333,0.7368,0.7805,0.6875,0.6857,0.6857,0.7179,0.7826,0.7895,0.7266,0.0432
VGG19,UMAP,No,300,J48,0.5294,0.5926,0.6667,0.7442,0.8108,0.625,0.5405,0.6667,0.6809,0.6667,0.6523,0.0818
VGG19,UMAP,No,300,RBF,0.6,0.5106,0.6667,0.7407,0.6667,0.6923,0.6667,0.6923,0,0.717,0.5953,0.2078
VGG19,UMAP,No,300,LinearSVM,0.5789,0.6286,0.7692,0.8372,0.6667,0.7692,0.6857,0.7805,0.7391,0.75,0.7205,0.0747
VGG19,UMAP,No,300,MLP,0.6122,0.5106,0.6667,0,0.6667,0,0.0952,0.1818,0,0,0.2733,0.2863
VGG19,UMAP,No,300,Logistic,0.6667,0.7742,0.8205,0.8293,0.8,0.7429,0.6286,0.8095,0.7317,0.7368,0.754,0.0632
