FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_ROCScore,KFold02_ROCScore,KFold03_ROCScore,KFold04_ROCScore,KFold05_ROCScore,KFold06_ROCScore,KFold07_ROCScore,KFold08_ROCScore,KFold09_ROCScore,KFold10_ROCScore,ROCScore_Mean,ROCScore_SD
Xception+ResNet50,PCA,No,300,PCC,0.6833,0.8043,0.7941,0.7357,0.7647,0.7917,0.7353,0.7535,0.6742,0.8211,0.7558,0.0471
Xception+ResNet50,PCA,No,300,J48,0.6917,0.6359,0.8235,0.6357,0.8529,0.8264,0.8235,0.7986,0.7765,0.7544,0.7619,0.0764
Xception+ResNet50,PCA,No,300,RBF,0.9083,0.9565,0.8824,0.7714,0.9412,0.941,0.8529,0.9097,0.9318,0.8807,0.8976,0.0521
Xception+ResNet50,PCA,No,300,LinearSVM,0.95,0.8913,0.9412,0.8679,0.9412,0.9167,0.8529,1,0.9129,0.9211,0.9195,0.0404
Xception+ResNet50,PCA,No,300,MLP,0.6167,0.6123,0.5882,0.5893,0.6176,0.6354,0.5882,0.7188,0.6326,0.6088,0.6208,0.0365
Xception+ResNet50,PCA,No,300,Logistic,0.95,0.8913,0.9118,0.8679,0.9412,0.9444,0.8824,1,0.9129,0.9737,0.9275,0.0397
Xception+ResNet50,PCA,No,300,RandomForest,0.8083,0.7862,0.7941,0.5893,0.7647,0.7361,0.8824,0.8611,0.7992,0.7351,0.7757,0.0767
Xception+ResNet50,PCA,No,300,Adaboost,0.8083,0.8496,0.9118,0.8071,0.8529,0.8542,0.8235,0.8229,0.8902,0.8211,0.8442,0.0331
Xception+ResNet50,PCA,No,300,Gaussian,0.775,0.7862,0.7353,0.5393,0.6471,0.7361,0.7059,0.7708,0.7803,0.6421,0.7118,0.076
Xception+ResNet50,UMAP,No,300,PCC,0.7583,0.8261,0.8235,0.7821,0.7353,0.8194,0.7059,0.7882,0.7462,0.8807,0.7866,0.0495
Xception+ResNet50,UMAP,No,300,J48,0.7167,0.8297,0.7353,0.7714,0.7353,0.7118,0.6765,0.7292,0.7197,0.7947,0.742,0.0424
Xception+ResNet50,UMAP,No,300,RBF,0.625,0.6957,0.7059,0.7,0.6765,0.7569,0.6471,0.6979,0.7576,0.7474,0.701,0.0422
Xception+ResNet50,UMAP,No,300,LinearSVM,0.6833,0.7609,0.7353,0.7607,0.7059,0.7847,0.7353,0.7257,0.7879,0.807,0.7487,0.0368
Xception+ResNet50,UMAP,No,300,MLP,0.575,0.5833,0.5294,0.5,0.7059,0.5,0.5294,0.5,0.5,0.507,0.543,0.0618
Xception+ResNet50,UMAP,No,300,Logistic,0.7833,0.8478,0.7941,0.7714,0.7647,0.8785,0.7647,0.8472,0.7841,0.8474,0.8083,0.0401
Xception+ResNet50,UMAP,No,300,RandomForest,0.8083,0.8496,0.8824,0.7964,0.8529,0.7674,0.8235,0.8785,0.7424,0.8807,0.8282,0.0467
Xception+ResNet50,UMAP,No,300,Adaboost,0.775,0.808,0.8529,0.7821,0.8235,0.7361,0.7647,0.7674,0.7386,0.8877,0.7936,0.0467
Xception+ResNet50,UMAP,No,300,Gaussian,0.7,0.808,0.7647,0.7107,0.8235,0.7882,0.6765,0.7569,0.7803,0.8474,0.7656,0.0528
VGG16+VGG19,PCA,No,300,PCC,0.525,0.5688,0.5588,0.575,0.7059,0.6146,0.5882,0.5833,0.4811,0.5544,0.5755,0.0557
VGG16+VGG19,PCA,No,300,J48,0.625,0.6576,0.6765,0.7321,0.7647,0.7153,0.6471,0.7014,0.7348,0.7825,0.7037,0.0491
VGG16+VGG19,PCA,No,300,RBF,0.7667,0.8279,0.8824,0.7571,0.7647,0.8819,0.8824,0.8854,0.9545,0.8807,0.8484,0.0629
VGG16+VGG19,PCA,No,300,LinearSVM,0.8667,0.8696,0.8235,0.7714,0.9118,0.7639,0.8529,0.9097,0.9318,0.7544,0.8456,0.0616
VGG16+VGG19,PCA,No,300,MLP,0.6583,0.6975,0.6176,0.6393,0.6471,0.6076,0.6765,0.6042,0.7424,0.5421,0.6433,0.0527
VGG16+VGG19,PCA,No,300,Logistic,0.8667,0.8696,0.8529,0.7357,0.9118,0.7639,0.8529,0.9688,0.9545,0.7544,0.8531,0.0768
VGG16+VGG19,PCA,No,300,RandomForest,0.5917,0.6793,0.7647,0.8286,0.6471,0.8021,0.6471,0.8333,0.7538,0.7281,0.7276,0.0792
VGG16+VGG19,PCA,No,300,Adaboost,0.7,0.7228,0.7647,0.7571,0.8235,0.7361,0.7647,0.8264,0.7803,0.6877,0.7563,0.0442
VGG16+VGG19,PCA,No,300,Gaussian,0.5083,0.7428,0.7647,0.6357,0.5882,0.7986,0.7059,0.7396,0.7765,0.5421,0.6802,0.0988
VGG16+VGG19,UMAP,No,300,PCC,0.775,0.8714,0.7941,0.6643,0.7647,0.6771,0.6176,0.6736,0.6629,0.7421,0.7243,0.0739
VGG16+VGG19,UMAP,No,300,J48,0.5667,0.6793,0.6765,0.575,0.7353,0.6285,0.6471,0.7014,0.4962,0.6298,0.6336,0.0677
VGG16+VGG19,UMAP,No,300,RBF,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
VGG16+VGG19,UMAP,No,300,LinearSVM,0.6667,0.7192,0.7647,0.65,0.7647,0.6701,0.5588,0.6701,0.6136,0.7018,0.678,0.0606
VGG16+VGG19,UMAP,No,300,MLP,0.6,0.5,0.6176,0.5,0.5,0.5,0.5,0.5,0.5,0.5491,0.5267,0.0437
VGG16+VGG19,UMAP,No,300,Logistic,0.7417,0.7844,0.7941,0.7357,0.7647,0.6181,0.5882,0.7535,0.7235,0.7351,0.7239,0.0643
VGG16+VGG19,UMAP,No,300,RandomForest,0.7917,0.8496,0.8235,0.7357,0.7647,0.7361,0.7353,0.7049,0.7008,0.7158,0.7558,0.0482
VGG16+VGG19,UMAP,No,300,Adaboost,0.6917,0.7663,0.7941,0.7464,0.7941,0.7083,0.6176,0.6736,0.6742,0.6351,0.7102,0.0598
VGG16+VGG19,UMAP,No,300,Gaussian,0.7667,0.7681,0.7647,0.8179,0.7353,0.684,0.6176,0.6771,0.6553,0.6754,0.7162,0.06
Xception+ResNet50,PCA,No,250,PCC,0.6833,0.7228,0.8235,0.8321,0.8235,0.8229,0.7647,0.7569,0.7348,0.7877,0.7752,0.0486
Xception+ResNet50,PCA,No,250,J48,0.5917,0.8297,0.7353,0.575,0.8235,0.8576,0.7941,0.6736,0.7614,0.6544,0.7296,0.096
Xception+ResNet50,PCA,No,250,RBF,0.8833,0.9366,0.9118,0.7964,0.9118,0.941,0.8824,0.8854,0.9318,0.907,0.8987,0.0398
Xception+ResNet50,PCA,No,250,LinearSVM,0.95,0.8913,0.9118,0.8571,0.9412,0.8854,0.9118,0.9444,0.8902,0.9333,0.9116,0.029
Xception+ResNet50,PCA,No,250,MLP,0.65,0.721,0.7353,0.7214,0.7353,0.7882,0.5588,0.4653,0.7386,0.6754,0.6789,0.0929
Xception+ResNet50,PCA,No,250,Logistic,0.95,0.913,0.9118,0.8214,0.9412,0.8854,0.9118,0.9722,0.9129,0.9333,0.9153,0.039
Xception+ResNet50,PCA,No,250,RandomForest,0.8333,0.8098,0.7647,0.7571,0.8529,0.7431,0.8235,0.7986,0.7992,0.7947,0.7977,0.033
Xception+ResNet50,PCA,No,250,Adaboost,0.8583,0.8062,0.9118,0.75,0.9118,0.8854,0.8235,0.8507,0.9091,0.914,0.8621,0.0526
Xception+ResNet50,PCA,No,250,Gaussian,0.775,0.7862,0.6765,0.625,0.6471,0.7361,0.6471,0.7986,0.7803,0.5754,0.7047,0.0759
Xception+ResNet50,UMAP,No,250,PCC,0.7583,0.8261,0.8235,0.7464,0.7353,0.7917,0.7059,0.8507,0.7008,0.8474,0.7786,0.0539
Xception+ResNet50,UMAP,No,250,J48,0.8333,0.7862,0.7353,0.7107,0.7353,0.8229,0.7353,0.6736,0.7576,0.7754,0.7566,0.0468
Xception+ResNet50,UMAP,No,250,RBF,0.65,0.7609,0.7059,0.7,0.6765,0.6979,0.6471,0.6979,0.7197,0.7807,0.7037,0.0405
Xception+ResNet50,UMAP,No,250,LinearSVM,0.6833,0.7826,0.7353,0.7607,0.6765,0.816,0.7353,0.7257,0.7879,0.807,0.751,0.0459
Xception+ResNet50,UMAP,No,250,MLP,0.6167,0.5,0.6765,0.5,0.4118,0.691,0.5,0.5,0.5,0.5,0.5396,0.0856
