ACC;Xception;VGG16            ;VGG19;ResNet50         ;ResNet101        ;ResNet152        ;ResNet50V2       ;ResNet101V2      ;ResNet152V2      ;InceptionV3      ;InceptionResNetV2;MobileNet        ;DenseNet121      ;DenseNet169      ;DenseNet201      ;NasNetMobile     ;MobileNetV2      ;EfficientNetB0   ;EfficientNetB1   ;EfficientNetB2   ;EfficientNetB3   ;EfficientNetB4   
ACC1;0,1143;0,2286;0,2;0,3714;0,2571;0,1714;0,4;0,4;0,2857;0,0857;0,1143;0,1143;0,1143;0,1429;0,0571;0,4857;0,5143;0,1143;0,0857;0,0571;0,0571;0,0286
ACC2;0;0,0286;0,0571;0,0571;0,0571;0,1143;0,0857;0,1714;0,0857;0,0286;0,0857;0,1143;0,0857;0,0857;0,0286;0,3714;0,2286;0;0,0857;0,1714;0,0857;0,0571
ACC3;0,1471;0,1176;0,0588;0,1471;0,1765;0,2647;0,1176;0,1471;0,2059;0,0294;0,1765;0,1765;0,1176;0,1176;0,0588;0,1176;0,2941;0,1176;0,1471;0,1176;0,0882;0,1176
ACC4;0,1171;0,1471;0,1471;0,1176;0,1765;0,0882;0,0882;0,1765;0,1176;0,0882;0,2059;0,0588;0,0882;0,1176;0,0588;0,5;0,1176;0,0588;0,0294;0,0588;0,0882;0,0882
ACC5;0,1176;0,0588;0,0882;0,0294;0,1471;0,1176;0,1176;0,1176;0,0882;0,0588;0,0294;0,0294;0,1176;0,0588;0,0588;0,5;0,0882;0,0882;0,0882;0,1176;0,1471;0,1471
ACC6;0,0294;0,0882;0,1471;0,1765;0,1471;0,1471;0,1176;0,1471;0,2059;0,1471;0,1471;0,0882;0,0882;0,1471;0,0882;0,3824;0,1471;0,0882;0,0882;0,1471;0,1176;0,1471
ACC7;0,1471;0,1471;0,1176;0,0588;0,1765;0,0588;0,1471;0,1176;0,2059;0,1176;0,0588;0,0588;0,1176;0,0882;0,0882;0,3824;0,1765;0,1176;0,1471;0,0588;0,0588;0,1471
ACC8;0,0882;0,0588;0,1765;0,1176;0,1471;0,0882;0,0588;0,1471;0,1176;0,0882;0,1765;0,1176;0,0882;0,0882;0,1176;0,3529;0,1471;0,0882;0,1471;0,0588;0,1176;0,1765
ACC9;0,0882;0,1176;0,1471;0,1176;0,1765;0,2059;0,0588;0,0882;0,0294;0,0588;0,1176;0,0588;0,1176;0,1176;0,0588;0,4706;0,1765;0,0882;0,1176;0,1471;0,0882;0,1765
ACC10;0,0882;0,1765;0,1176;0,1176;0,1176;0,1471;0,1471;0,1765;0,1765;0,0882;0,1471;0,2353;0,1471;0,1471;0,0588;0,1765;0,2059;0,0588;0,1176;0,0882;0,0882;0,1471
