Metodo;FeatureExtraction;DimReduction;Normalization;NumberComponents;Classifier;ACC01;ACC02;ACC03;ACC04;ACC05;ACC06;ACC07;ACC08;ACC09;ACC10
Xception_PCA_300_J48;Xception;PCA;No;300;J48;0,7429;0,7714;0,5294;0,5882;0,5588;0,5882;0,5;0,6471;0,6176;0,5588
Xception_PCA_300_RBF;Xception;PCA;No;300;RBF;0,7714;0,8571;0,9118;0,8235;0,8529;0,9118;0,8529;0,8824;0,9118;0,8529
Xception_PCA_300_LinearSVM;Xception;PCA;No;300;LinearSVM;0,8571;0,8571;0,8235;0,9118;0,8824;0,8824;0,8529;0,9706;0,8529;0,8529
Xception_PCA_300_MLP;Xception;PCA;No;300;MLP;0,6857;0,4286;0,6176;0,4706;0,4706;0,6471;0,6176;0,6176;0,6471;0,8235
Xception_PCA_300_Logistic;Xception;PCA;No;300;Logistic;0,8571;0,8571;0,8824;0,9118;0,8824;0,9412;0,8824;0,9412;0,8529;0,8824
Xception_PCA_300_RandomForest;Xception;PCA;No;300;RandomForest;0,6857;0,8857;0,7353;0,7353;0,9118;0,7353;0,6765;0,8235;0,7647;0,7059
Xception_PCA_300_Adaboost;Xception;PCA;No;300;Adaboost;0,7429;0,7429;0,7059;0,7647;0,9118;0,7647;0,7941;0,8824;0,7353;0,7059
Xception_PCA_300_Gaussian;Xception;PCA;No;300;Gaussian;0,6286;0,7714;0,7059;0,6765;0,7059;0,6765;0,7059;0,7059;0,7353;0,6176
Xception_UMAP_300_J48;Xception;UMAP;No;300;J48;0,7429;0,7714;0,7941;0,7059;0,7059;0,7647;0,8235;0,7647;0,6471;0,7941
Xception_UMAP_300_RBF;Xception;UMAP;No;300;RBF;0,4857;0,4;0,6471;0,6765;0,6471;0,7647;0,7059;0,7647;0,4118;0,6471
Xception_UMAP_300_LinearSVM;Xception;UMAP;No;300;LinearSVM;0,6857;0,8571;0,6471;0,7647;0,6471;0,7059;0,7647;0,7353;0,5294;0,6765
Xception_UMAP_300_MLP;Xception;UMAP;No;300;MLP;0,6;0,5429;0,6765;0,6176;0,5294;0,5;0,5294;0,5294;0,3529;0,7353
Xception_UMAP_300_Logistic;Xception;UMAP;No;300;Logistic;0,7429;0,8571;0,6471;0,7647;0,7353;0,7353;0,8529;0,7941;0,5294;0,7647
Xception_UMAP_300_RandomForest;Xception;UMAP;No;300;RandomForest;0,8286;0,8571;0,8235;0,7647;0,8235;0,7941;0,8235;0,8824;0,7647;0,8235
Xception_UMAP_300_Adaboost;Xception;UMAP;No;300;Adaboost;0,8286;0,7714;0,7353;0,8529;0,8529;0,7353;0,8235;0,8529;0,7059;0,7647
