ExtractionMethod;Reduction;Classification;Metodo;Fold;Components;ACC
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;1;300;0,9143
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;2;300;0,8286
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;3;300;0,9706
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;4;300;0,8824
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;5;300;0,9412
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;6;300;0,9412
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;7;300;0,9706
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;8;300;0,8824
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;9;300;0,9706
DenseNet121;PCA;Logistic;DenseNet121_PCA_300_Logistic;10;300;0,9118
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;1;50;0,9714
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;2;50;0,9429
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;3;50;0,8824
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;4;50;0,8529
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;5;50;0,9706
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;6;50;0,9118
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;7;50;0,8824
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;8;50;0,9412
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;9;50;0,9118
DenseNet169;PCA;RBF;DenseNet169_PCA_50_RBF;10;50;0,9118
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;1;300;0,8857
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;2;300;0,9143
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;3;300;0,9706
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;4;300;0,8529
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;5;300;0,9412
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;6;300;0,8824
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;7;300;0,8824
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;8;300;0,9412
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;9;300;0,9706
DenseNet201;PCA;Logistic;DenseNet201_PCA_300_Logistic;10;300;0,9412
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;1;300;0,9429
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;2;300;0,8286
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;3;300;0,9412
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;4;300;0,9118
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;5;300;0,9118
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;6;300;0,9412
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;7;300;0,9118
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;8;300;0,9706
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;9;300;0,9412
EfficientNetB0;PCA;Logistic;EfficientNetB0_PCA_300_Logistic;10;300;0,9118
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;1;300;0,9429
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;2;300;0,9429
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;3;300;0,9706
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;4;300;0,8529
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;5;300;0,9412
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;6;300;0,9412
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;7;300;0,9412
EfficientNetB1;PCA;LinearSVM;EfficientNetB1_PCA_300_LinearSVM;8;300;0,9412
