FeatureExtraction;DimReduction;Normalization;NumberComponents;Classifier;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy;Accuracy_Mean;Accuracy_SD
Xception+ResNet50;PCA;No;300;J48;0,6857;0,6;0,8235;0,6471;0,8529;0,8235;0,8235;0,7941;0,7353;0,7647;0,755;0,0813
Xception+ResNet50;PCA;No;300;RBF;0,9143;0,9429;0,8824;0,7941;0,9412;0,9412;0,8529;0,9118;0,9118;0,8824;0,8975;0,0444
Xception+ResNet50;PCA;No;300;LinearSVM;0,9429;0,8571;0,9412;0,8824;0,9412;0,9118;0,8529;1;0,9118;0,9118;0,9153;0,042
Xception+ResNet50;PCA;No;300;MLP;0,6;0,5429;0,5882;0,6176;0,6176;0,6471;0,5882;0,7353;0,6471;0,6176;0,6202;0,0481
Xception+ResNet50;PCA;No;300;Logistic;0,9429;0,8571;0,9118;0,8824;0,9412;0,9412;0,8824;1;0,9118;0,9706;0,9241;0,0414
Xception+ResNet50;PCA;No;300;RandomForest;0,8;0,7714;0,7941;0,6176;0,7647;0,7353;0,8824;0,8529;0,7647;0,7353;0,7718;0,0683
Xception+ResNet50;PCA;No;300;Adaboost;0,8;0,8286;0,9118;0,8235;0,8529;0,8529;0,8235;0,8235;0,8824;0,8235;0,8423;0,0317
Xception+ResNet50;PCA;No;300;Gaussian;0,7714;0,7714;0,7353;0,5588;0,6471;0,7353;0,7059;0,7647;0,7647;0,6471;0,7102;0,0675
Xception+ResNet50;UMAP;No;300;J48;0,7143;0,8286;0,7353;0,7941;0,7353;0,7059;0,6765;0,7353;0,7353;0,7941;0,7455;0,044
Xception+ResNet50;UMAP;No;300;RBF;0,6;0,6;0,7059;0,7353;0,6765;0,7647;0,6471;0,7059;0,7353;0,7647;0,6935;0,0582
Xception+ResNet50;UMAP;No;300;LinearSVM;0,6571;0,6857;0,7353;0,7941;0,7059;0,7941;0,7353;0,7353;0,8235;0,8235;0,749;0,0548
Xception+ResNet50;UMAP;No;300;MLP;0,6286;0,7143;0,5294;0,5882;0,7059;0,5294;0,5294;0,4706;0,6471;0,5588;0,5902;0,0774
Xception+ResNet50;UMAP;No;300;Logistic;0,7714;0,8;0,7941;0,7941;0,7647;0,8824;0,7647;0,8529;0,7941;0,8529;0,8071;0,0391
Xception+ResNet50;UMAP;No;300;RandomForest;0,8;0,8286;0,8824;0,8235;0,8529;0,7647;0,8235;0,8824;0,7647;0,8824;0,8305;0,0427
Xception+ResNet50;UMAP;No;300;Adaboost;0,7714;0,8;0,8529;0,7941;0,8235;0,7353;0,7647;0,7647;0,7353;0,8824;0,7924;0,0461
Xception+ResNet50;UMAP;No;300;Gaussian;0,6857;0,8;0,7647;0,7353;0,8235;0,7941;0,6765;0,7647;0,7647;0,8529;0,7662;0,0531
VGG16+VGG19;PCA;No;300;J48;0,6286;0,6286;0,6765;0,7353;0,7647;0,7059;0,6471;0,7059;0,7059;0,7647;0,6963;0,0481
VGG16+VGG19;PCA;No;300;RBF;0,7714;0,8;0,8824;0,7647;0,7647;0,8824;0,8824;0,8824;0,9412;0,8824;0,8454;0,0605
VGG16+VGG19;PCA;No;300;LinearSVM;0,8571;0,8286;0,8235;0,7941;0,9118;0,7647;0,8529;0,9118;0,9118;0,7647;0,8421;0,0545
VGG16+VGG19;PCA;No;300;MLP;0,6286;0,6286;0,6176;0,6765;0,6471;0,6176;0,6765;0,6176;0,7647;0,5588;0,6434;0,0515
VGG16+VGG19;PCA;No;300;Logistic;0,8571;0,8286;0,8529;0,7647;0,9118;0,7647;0,8529;0,9706;0,9412;0,7647;0,8509;0,07
VGG16+VGG19;PCA;No;300;RandomForest;0,6;0,6571;0,7647;0,8235;0,6471;0,7941;0,6471;0,8235;0,7059;0,7353;0,7198;0,0764
VGG16+VGG19;PCA;No;300;Adaboost;0,6857;0,7143;0,7647;0,7647;0,8235;0,7353;0,7647;0,8235;0,7647;0,7059;0,7547;0,0436
VGG16+VGG19;PCA;No;300;Gaussian;0,5143;0,7143;0,7647;0,6471;0,5882;0,7941;0,7059;0,7353;0,7353;0,5588;0,6758;0,0892
VGG16+VGG19;UMAP;No;300;J48;0,5429;0,6571;0,6765;0,5882;0,7353;0,6176;0,6471;0,7059;0,4706;0,6176;0,6259;0,0741
VGG16+VGG19;UMAP;No;300;RBF;0,4286;0,3429;0,5;0,5882;0,5;0,5294;0,5;0,5294;0,3529;0,5588;0,483;0,0784
VGG16+VGG19;UMAP;No;300;LinearSVM;0,6571;0,6571;0,7647;0,6765;0,7647;0,6765;0,5588;0,6765;0,6471;0,7059;0,6785;0,0564
VGG16+VGG19;UMAP;No;300;MLP;0,5429;0,6571;0,6176;0,4118;0,5;0,5294;0,5;0,5294;0,3529;0,5588;0,52;0,0842
VGG16+VGG19;UMAP;No;300;Logistic;0,7429;0,7429;0,7941;0,7647;0,7647;0,6176;0,5882;0,7647;0,7647;0,7353;0,728;0,0648
VGG16+VGG19;UMAP;No;300;RandomForest;0,8;0,8286;0,8235;0,7647;0,7647;0,7353;0,7353;0,7059;0,7353;0,7059;0,7599;0,0425
