Metodo;EfficientNetB0+MobileNet_PCA_300_LinearSVM;EfficientNetB1+EfficientNetB5_PCA_300_Logistic;MobileNet+ResNet101_PCA_300_Logistic;MobileNet+ResNet50_PCA_300_LinearSVM;ResNet101+DenseNet121_PCA_300_Logistic;ResNet101+DenseNet169_PCA_40_RBF;ResNet101+MobileNetV2_PCA_300_Logistic;VGG16+VGG19_ReliefF_300_RBF;Xception+ResNet50_PCA_300_Logistic
ACC01;0,9429;0,9143;0,9143;0,9714;0,8857;0,9143;0,9429;0,8;0,9429
ACC02;0,9429;0,9429;0,9429;0,9714;0,8571;0,9143;0,8857;0,8857;0,8571
ACC03;0,9412;0,9412;0,9412;0,9412;0,9706;0,9118;0,9412;0,8824;0,9118
ACC04;0,9118;0,8824;0,8824;0,9118;0,8824;0,8824;0,8529;0,7941;0,8824
ACC05;0,9412;0,9706;0,9118;0,9118;0,9118;0,9706;0,9118;0,8529;0,9412
ACC06;0,9706;0,9118;0,9412;0,9412;0,9412;0,9706;0,9412;0,9118;0,9412
ACC07;0,9412;0,8529;0,9706;0,9706;1;0,8824;0,9412;0,9412;0,8824
ACC08;0,9412;0,9706;0,9412;1;0,9706;0,9412;0,9706;0,9412;1
ACC09;0,9412;0,9412;0,9412;0,9412;0,9412;0,9412;0,9118;0,9412;0,9118
ACC10;0,9706;0,9118;0,9118;1;0,9412;0,9118;0,9118;0,8824;0,9706
