metodo;ExtractionMethod;Reduction;Classification;Fold;Components;ACC
EfficientNetB0+MobileNet_PCA_300_LinearSVM;EfficientNetB0+MobileNet;PCA;LinearSVM;1;300;0,942857
EfficientNetB0+MobileNet_PCA_300_LinearSVM;EfficientNetB0+MobileNet;PCA;LinearSVM;2;300;0,942857
EfficientNetB0+MobileNet_PCA_300_LinearSVM;EfficientNetB0+MobileNet;PCA;LinearSVM;3;300;0,941176
EfficientNetB0+MobileNet_PCA_300_LinearSVM;EfficientNetB0+MobileNet;PCA;LinearSVM;4;300;0,911765
EfficientNetB0+MobileNet_PCA_300_LinearSVM;EfficientNetB0+MobileNet;PCA;LinearSVM;5;300;0,941176
EfficientNetB0+MobileNet_PCA_300_LinearSVM;EfficientNetB0+MobileNet;PCA;LinearSVM;6;300;0,970588
EfficientNetB0+MobileNet_PCA_300_LinearSVM;EfficientNetB0+MobileNet;PCA;LinearSVM;7;300;0,941176
EfficientNetB0+MobileNet_PCA_300_LinearSVM;EfficientNetB0+MobileNet;PCA;LinearSVM;8;300;0,941176
EfficientNetB0+MobileNet_PCA_300_LinearSVM;EfficientNetB0+MobileNet;PCA;LinearSVM;9;300;0,941176
EfficientNetB0+MobileNet_PCA_300_LinearSVM;EfficientNetB0+MobileNet;PCA;LinearSVM;10;300;0,970588
EfficientNetB1+EfficientNetB5_PCA_300_Logistic;EfficientNetB1+EfficientNetB5;PCA;Logistic;1;300;0,914286
EfficientNetB1+EfficientNetB5_PCA_300_Logistic;EfficientNetB1+EfficientNetB5;PCA;Logistic;2;300;0,942857
EfficientNetB1+EfficientNetB5_PCA_300_Logistic;EfficientNetB1+EfficientNetB5;PCA;Logistic;3;300;0,941176
EfficientNetB1+EfficientNetB5_PCA_300_Logistic;EfficientNetB1+EfficientNetB5;PCA;Logistic;4;300;0,882353
EfficientNetB1+EfficientNetB5_PCA_300_Logistic;EfficientNetB1+EfficientNetB5;PCA;Logistic;5;300;0,970588
EfficientNetB1+EfficientNetB5_PCA_300_Logistic;EfficientNetB1+EfficientNetB5;PCA;Logistic;6;300;0,911765
EfficientNetB1+EfficientNetB5_PCA_300_Logistic;EfficientNetB1+EfficientNetB5;PCA;Logistic;7;300;0,852941
EfficientNetB1+EfficientNetB5_PCA_300_Logistic;EfficientNetB1+EfficientNetB5;PCA;Logistic;8;300;0,970588
EfficientNetB1+EfficientNetB5_PCA_300_Logistic;EfficientNetB1+EfficientNetB5;PCA;Logistic;9;300;0,941176
EfficientNetB1+EfficientNetB5_PCA_300_Logistic;EfficientNetB1+EfficientNetB5;PCA;Logistic;10;300;0,911765
MobileNet+ResNet101_PCA_300_Logistic;MobileNet+ResNet101;PCA;Logistic;1;300;0,914286
MobileNet+ResNet101_PCA_300_Logistic;MobileNet+ResNet101;PCA;Logistic;2;300;0,942857
MobileNet+ResNet101_PCA_300_Logistic;MobileNet+ResNet101;PCA;Logistic;3;300;0,941176
MobileNet+ResNet101_PCA_300_Logistic;MobileNet+ResNet101;PCA;Logistic;4;300;0,882353
MobileNet+ResNet101_PCA_300_Logistic;MobileNet+ResNet101;PCA;Logistic;5;300;0,911765
MobileNet+ResNet101_PCA_300_Logistic;MobileNet+ResNet101;PCA;Logistic;6;300;0,941176
MobileNet+ResNet101_PCA_300_Logistic;MobileNet+ResNet101;PCA;Logistic;7;300;0,970588
MobileNet+ResNet101_PCA_300_Logistic;MobileNet+ResNet101;PCA;Logistic;8;300;0,941176
MobileNet+ResNet101_PCA_300_Logistic;MobileNet+ResNet101;PCA;Logistic;9;300;0,941176
MobileNet+ResNet101_PCA_300_Logistic;MobileNet+ResNet101;PCA;Logistic;10;300;0,911765
MobileNet+ResNet50_PCA_300_LinearSVM;MobileNet+ResNet50;PCA;LinearSVM;1;300;0,971429
MobileNet+ResNet50_PCA_300_LinearSVM;MobileNet+ResNet50;PCA;LinearSVM;2;300;0,971429
MobileNet+ResNet50_PCA_300_LinearSVM;MobileNet+ResNet50;PCA;LinearSVM;3;300;0,941176
MobileNet+ResNet50_PCA_300_LinearSVM;MobileNet+ResNet50;PCA;LinearSVM;4;300;0,911765
MobileNet+ResNet50_PCA_300_LinearSVM;MobileNet+ResNet50;PCA;LinearSVM;5;300;0,911765
MobileNet+ResNet50_PCA_300_LinearSVM;MobileNet+ResNet50;PCA;LinearSVM;6;300;0,941176
MobileNet+ResNet50_PCA_300_LinearSVM;MobileNet+ResNet50;PCA;LinearSVM;7;300;0,970588
MobileNet+ResNet50_PCA_300_LinearSVM;MobileNet+ResNet50;PCA;LinearSVM;8;300;1
MobileNet+ResNet50_PCA_300_LinearSVM;MobileNet+ResNet50;PCA;LinearSVM;9;300;0,941176
