Metodo;FeatureExtraction;DimReduction;NumberComponents;Classifier;ACC01;ACC02;ACC03;ACC04;ACC05;ACC06;ACC07;ACC08;ACC09;ACC10
MobileNet+ResNet101_n_feat_ReliefF_300_J48;MobileNet+ResNet101_n_feat;ReliefF;300;J48;0,7143;0,6857;0,7059;0,7353;0,7941;0,6765;0,7941;0,8529;0,8529;0,7353
MobileNet+ResNet101_n_feat_ReliefF_300_RBF;MobileNet+ResNet101_n_feat;ReliefF;300;RBF;0,8857;0,8857;0,9118;0,8529;0,8529;0,9118;0,9412;0,8824;0,9412;0,9412
MobileNet+ResNet101_n_feat_ReliefF_300_LinearSVM;MobileNet+ResNet101_n_feat;ReliefF;300;LinearSVM;0,8857;0,8857;0,9118;0,8824;0,8235;0,9412;0,9706;0,9118;0,9706;0,7941
MobileNet+ResNet101_n_feat_ReliefF_300_MLP;MobileNet+ResNet101_n_feat;ReliefF;300;MLP;0,8;0,8857;0,8824;0,7941;0,7353;0,8824;0,8529;0,8824;0,9412;0,9412
MobileNet+ResNet101_n_feat_ReliefF_300_Logistic;MobileNet+ResNet101_n_feat;ReliefF;300;Logistic;0,9429;0,8857;0,9118;0,8824;0,8235;0,9118;0,9706;0,9412;0,9706;0,8529
MobileNet+ResNet101_n_feat_ReliefF_300_RandomForest;MobileNet+ResNet101_n_feat;ReliefF;300;RandomForest;0,8286;0,8286;0,8824;0,8824;0,8235;0,9118;0,9706;0,9412;0,9412;0,9118
MobileNet+ResNet101_n_feat_ReliefF_300_Adaboost;MobileNet+ResNet101_n_feat;ReliefF;300;Adaboost;0,8857;0,8571;0,8824;0,9118;0,8529;0,9412;0,9412;0,9706;0,8529;0,8529
MobileNet+ResNet101_n_feat_ReliefF_300_Gaussian;MobileNet+ResNet101_n_feat;ReliefF;300;Gaussian;0,8571;0,8571;0,8824;0,8529;0,8529;0,8235;0,8824;0,8529;0,7353;0,8824
ResNet101+DenseNet169_n_feat_ReliefF_300_J48;ResNet101+DenseNet169_n_feat;ReliefF;300;J48;0,6571;0,7714;0,7059;0,8235;0,8529;0,7353;0,7647;0,9412;0,7941;0,7353
ResNet101+DenseNet169_n_feat_ReliefF_300_RBF;ResNet101+DenseNet169_n_feat;ReliefF;300;RBF;0,8;0,8;0,8529;0,8235;0,8824;0,9118;0,8824;0,9412;0,9706;0,8235
ResNet101+DenseNet169_n_feat_ReliefF_300_LinearSVM;ResNet101+DenseNet169_n_feat;ReliefF;300;LinearSVM;0,8857;0,8286;0,8529;0,7941;0,8529;0,8824;0,9118;0,9118;0,9412;0,8235
ResNet101+DenseNet169_n_feat_ReliefF_300_MLP;ResNet101+DenseNet169_n_feat;ReliefF;300;MLP;0,7429;0,6857;0,9118;0,8824;0,8529;0,7647;0,8824;0,9118;0,8824;0,8235
ResNet101+DenseNet169_n_feat_ReliefF_300_Logistic;ResNet101+DenseNet169_n_feat;ReliefF;300;Logistic;0,8286;0,7429;0,9118;0,8235;0,8529;0,8529;0,9118;0,8529;0,9706;0,8235
ResNet101+DenseNet169_n_feat_ReliefF_300_RandomForest;ResNet101+DenseNet169_n_feat;ReliefF;300;RandomForest;0,8571;0,8286;0,8529;0,8824;0,8529;0,9412;0,9118;0,9412;0,9412;0,8235
ResNet101+DenseNet169_n_feat_ReliefF_300_Adaboost;ResNet101+DenseNet169_n_feat;ReliefF;300;Adaboost;0,8857;0,7429;0,8235;0,8235;0,7353;0,8824;0,9706;0,8235;0,9118;0,7647
ResNet101+DenseNet169_n_feat_ReliefF_300_Gaussian;ResNet101+DenseNet169_n_feat;ReliefF;300;Gaussian;0,7714;0,8571;0,7941;0,8235;0,8824;0,8529;0,8824;0,8529;0,7353;0,7941
ResNet101+DenseNet121_n_feat_ReliefF_300_J48;ResNet101+DenseNet121_n_feat;ReliefF;300;J48;0,8;0,7714;0,7941;0,7941;0,7059;0,8235;0,8529;0,7941;0,8529;0,7647
ResNet101+DenseNet121_n_feat_ReliefF_300_RBF;ResNet101+DenseNet121_n_feat;ReliefF;300;RBF;0,7714;0,8;0,8529;0,8529;0,8824;0,9118;0,9118;0,8235;0,9118;0,8529
ResNet101+DenseNet121_n_feat_ReliefF_300_LinearSVM;ResNet101+DenseNet121_n_feat;ReliefF;300;LinearSVM;0,7714;0,8;0,8824;0,7941;0,8529;0,9118;0,9412;0,8235;0,9118;0,8529
ResNet101+DenseNet121_n_feat_ReliefF_300_MLP;ResNet101+DenseNet121_n_feat;ReliefF;300;MLP;0,7429;0,6571;0,8235;0,8529;0,8824;0,8529;0,9118;0,8235;0,8824;0,8235
ResNet101+DenseNet121_n_feat_ReliefF_300_Logistic;ResNet101+DenseNet121_n_feat;ReliefF;300;Logistic;0,8286;0,7714;0,8529;0,7941;0,8824;0,8824;0,8824;0,8529;0,9412;0,8529
ResNet101+DenseNet121_n_feat_ReliefF_300_RandomForest;ResNet101+DenseNet121_n_feat;ReliefF;300;RandomForest;0,8571;0,8;0,8824;0,9412;0,8824;0,9118;0,9412;1;0,9412;0,8824
ResNet101+DenseNet121_n_feat_ReliefF_300_Adaboost;ResNet101+DenseNet121_n_feat;ReliefF;300;Adaboost;0,8286;0,8;0,8235;0,8235;0,7941;0,8235;0,9412;0,8824;0,8824;0,8235
ResNet101+DenseNet121_n_feat_ReliefF_300_Gaussian;ResNet101+DenseNet121_n_feat;ReliefF;300;Gaussian;0,8;0,8;0,7647;0,8824;0,7941;0,8529;0,9412;0,8235;0,7353;0,7353
ResNet101+MobileNetV2_n_feat_ReliefF_300_J48;ResNet101+MobileNetV2_n_feat;ReliefF;300;J48;0,7143;0,6857;0,8824;0,7941;0,8235;0,8235;0,7059;0,8529;0,8824;0,7941
ResNet101+MobileNetV2_n_feat_ReliefF_300_RBF;ResNet101+MobileNetV2_n_feat;ReliefF;300;RBF;0,8286;0,8;0,9118;0,8529;0,8824;0,9118;0,9118;0,9118;0,9412;0,9118
ResNet101+MobileNetV2_n_feat_ReliefF_300_LinearSVM;ResNet101+MobileNetV2_n_feat;ReliefF;300;LinearSVM;0,9429;0,7714;0,8824;0,8235;0,8824;0,9118;0,8529;0,8824;0,9118;0,8529
ResNet101+MobileNetV2_n_feat_ReliefF_300_MLP;ResNet101+MobileNetV2_n_feat;ReliefF;300;MLP;0,7714;0,8286;0,8824;0,8235;0,8529;0,8529;0,8824;0,8529;0,9412;0,8824
ResNet101+MobileNetV2_n_feat_ReliefF_300_Logistic;ResNet101+MobileNetV2_n_feat;ReliefF;300;Logistic;0,9429;0,7429;0,8824;0,8235;0,8824;0,9118;0,9118;0,8824;0,9118;0,8529
ResNet101+MobileNetV2_n_feat_ReliefF_300_RandomForest;ResNet101+MobileNetV2_n_feat;ReliefF;300;RandomForest;0,8286;0,8571;0,9118;0,9118;0,9118;0,8824;0,9412;0,9118;0,9706;0,9118
ResNet101+MobileNetV2_n_feat_ReliefF_300_Adaboost;ResNet101+MobileNetV2_n_feat;ReliefF;300;Adaboost;0,7714;0,7714;0,8529;0,8235;0,9412;0,8235;0,7941;0,8529;0,8824;0,9118
ResNet101+MobileNetV2_n_feat_ReliefF_300_Gaussian;ResNet101+MobileNetV2_n_feat;ReliefF;300;Gaussian;0,7714;0,8571;0,8824;0,8824;0,8529;0,7353;0,8824;0,8235;0,7059;0,8529
EfficientNetB0+MobileNet_n_feat_ReliefF_300_J48;EfficientNetB0+MobileNet_n_feat;ReliefF;300;J48;0,8286;0,7714;0,8235;0,7941;0,7353;0,7059;0,7647;0,7059;0,8824;0,8529
EfficientNetB0+MobileNet_n_feat_ReliefF_300_RBF;EfficientNetB0+MobileNet_n_feat;ReliefF;300;RBF;0,8286;0,9429;0,9412;0,9118;0,8529;0,9118;0,8235;0,8824;0,8824;0,9706
EfficientNetB0+MobileNet_n_feat_ReliefF_300_LinearSVM;EfficientNetB0+MobileNet_n_feat;ReliefF;300;LinearSVM;0,8571;0,9429;0,8824;0,9118;0,8235;0,9118;0,8824;0,9118;0,9706;0,9412
EfficientNetB0+MobileNet_n_feat_ReliefF_300_MLP;EfficientNetB0+MobileNet_n_feat;ReliefF;300;MLP;0,8571;0,9143;0,8824;0,8824;0,7941;0,8824;0,8529;0,9118;0,9412;0,9118
EfficientNetB0+MobileNet_n_feat_ReliefF_300_Logistic;EfficientNetB0+MobileNet_n_feat;ReliefF;300;Logistic;0,8286;0,9429;0,9118;0,9118;0,8529;0,9118;0,9118;0,9118;0,9706;0,9706
EfficientNetB0+MobileNet_n_feat_ReliefF_300_RandomForest;EfficientNetB0+MobileNet_n_feat;ReliefF;300;RandomForest;0,8571;0,9429;0,9412;0,8529;0,8529;0,8235;0,8529;0,9118;0,9118;0,9706
