Metodo;EfficientNetB0+MobileNet_n_feat_PCA_200_RBF;EfficientNetB1+EfficientNetB5_n_feat_PCA_300_Logistic;MobileNet+ResNet101_n_feat_PCA_75_RBF;MobileNet+ResNet50_n_feat_PCA_100_RBF;ResNet101+DenseNet121_n_feat_PCA_75_RBF;ResNet101+DenseNet169_n_feat_PCA_75_RBF;ResNet101+MobileNetV2_n_feat_PCA_75_RBF;VGG16+VGG19_n_feat_ReliefF_300_RBF;Xception+ResNet50_n_feat_PCA_40_RBF
ACC01;0,8571;0,9143;0,8;0,9143;0,8571;0,8286;0,8571;0,8;0,9143
ACC02;0,9714;0,9429;0,9429;0,9714;0,9429;0,9714;0,9714;0,9143;0,8857
ACC03;0,9706;0,9412;0,9118;0,9118;0,9118;0,9118;0,9118;0,8529;0,9118
ACC04;0,9118;0,9118;0,8529;0,8529;0,8529;0,8529;0,8529;0,7941;0,8529
ACC05;0,8824;0,9412;0,9412;0,9412;0,9706;0,9412;0,9412;0,8529;0,9412
ACC06;0,9706;0,8824;0,9412;0,9706;0,9706;0,9412;0,9412;0,9118;0,9706
ACC07;0,9118;0,9118;0,9412;0,9118;0,9412;0,9412;0,8824;0,9412;0,8824
ACC08;0,9412;0,9412;0,9412;0,9706;0,9412;0,9412;0,9706;0,9412;0,9412
ACC09;0,9412;0,9412;0,9118;0,8824;0,9118;0,9412;0,9412;0,9412;0,9118
ACC10;0,9412;0,8824;0,9706;1;0,9706;0,9412;1;0,8824;0,9118
