metodo;ExtractionMethod;Reduction;Classification;Fold;Features;Normalization;Components;ACC
MobileNet+ResNet101_n_feat_ReliefF_300_J48;MobileNet+ResNet101_n_feat;ReliefF;J48;1;150528;No;300;0,714286
MobileNet+ResNet101_n_feat_ReliefF_300_RBF;MobileNet+ResNet101_n_feat;ReliefF;RBF;1;150528;No;300;0,885714
MobileNet+ResNet101_n_feat_ReliefF_300_LinearSVM;MobileNet+ResNet101_n_feat;ReliefF;LinearSVM;1;150528;No;300;0,885714
MobileNet+ResNet101_n_feat_ReliefF_300_MLP;MobileNet+ResNet101_n_feat;ReliefF;MLP;1;150528;No;300;0,8
MobileNet+ResNet101_n_feat_ReliefF_300_Logistic;MobileNet+ResNet101_n_feat;ReliefF;Logistic;1;150528;No;300;0,942857
MobileNet+ResNet101_n_feat_ReliefF_300_RandomForest;MobileNet+ResNet101_n_feat;ReliefF;RandomForest;1;150528;No;300;0,828571
MobileNet+ResNet101_n_feat_ReliefF_300_Adaboost;MobileNet+ResNet101_n_feat;ReliefF;Adaboost;1;150528;No;300;0,885714
MobileNet+ResNet101_n_feat_ReliefF_300_Gaussian;MobileNet+ResNet101_n_feat;ReliefF;Gaussian;1;150528;No;300;0,857143
MobileNet+ResNet101_n_feat_ReliefF_300_J48;MobileNet+ResNet101_n_feat;ReliefF;J48;2;150528;No;300;0,685714
MobileNet+ResNet101_n_feat_ReliefF_300_RBF;MobileNet+ResNet101_n_feat;ReliefF;RBF;2;150528;No;300;0,885714
MobileNet+ResNet101_n_feat_ReliefF_300_LinearSVM;MobileNet+ResNet101_n_feat;ReliefF;LinearSVM;2;150528;No;300;0,885714
MobileNet+ResNet101_n_feat_ReliefF_300_MLP;MobileNet+ResNet101_n_feat;ReliefF;MLP;2;150528;No;300;0,885714
MobileNet+ResNet101_n_feat_ReliefF_300_Logistic;MobileNet+ResNet101_n_feat;ReliefF;Logistic;2;150528;No;300;0,885714
MobileNet+ResNet101_n_feat_ReliefF_300_RandomForest;MobileNet+ResNet101_n_feat;ReliefF;RandomForest;2;150528;No;300;0,828571
MobileNet+ResNet101_n_feat_ReliefF_300_Adaboost;MobileNet+ResNet101_n_feat;ReliefF;Adaboost;2;150528;No;300;0,857143
MobileNet+ResNet101_n_feat_ReliefF_300_Gaussian;MobileNet+ResNet101_n_feat;ReliefF;Gaussian;2;150528;No;300;0,857143
MobileNet+ResNet101_n_feat_ReliefF_300_J48;MobileNet+ResNet101_n_feat;ReliefF;J48;3;150528;No;300;0,705882
MobileNet+ResNet101_n_feat_ReliefF_300_RBF;MobileNet+ResNet101_n_feat;ReliefF;RBF;3;150528;No;300;0,911765
MobileNet+ResNet101_n_feat_ReliefF_300_LinearSVM;MobileNet+ResNet101_n_feat;ReliefF;LinearSVM;3;150528;No;300;0,911765
MobileNet+ResNet101_n_feat_ReliefF_300_MLP;MobileNet+ResNet101_n_feat;ReliefF;MLP;3;150528;No;300;0,882353
MobileNet+ResNet101_n_feat_ReliefF_300_Logistic;MobileNet+ResNet101_n_feat;ReliefF;Logistic;3;150528;No;300;0,911765
MobileNet+ResNet101_n_feat_ReliefF_300_RandomForest;MobileNet+ResNet101_n_feat;ReliefF;RandomForest;3;150528;No;300;0,882353
MobileNet+ResNet101_n_feat_ReliefF_300_Adaboost;MobileNet+ResNet101_n_feat;ReliefF;Adaboost;3;150528;No;300;0,882353
MobileNet+ResNet101_n_feat_ReliefF_300_Gaussian;MobileNet+ResNet101_n_feat;ReliefF;Gaussian;3;150528;No;300;0,882353
MobileNet+ResNet101_n_feat_ReliefF_300_J48;MobileNet+ResNet101_n_feat;ReliefF;J48;4;150528;No;300;0,735294
