FeatureExtraction;DimReduction;Normalization;NumberComponents;Classifier;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy;Accuracy_Mean;Accuracy_SD
MobileNet+ResNet50;PCA;No;300;LinearSVM;0,9714;0,9714;0,9412;0,9118;0,9118;0,9412;0,9706;1;0,9412;1;0,9561;0,0302
MobileNet+ResNet50;PCA;No;300;Logistic;0,9429;0,9714;0,9412;0,8529;0,9412;0,9412;0,9412;1;0,9412;1;0,9473;0,039
EfficientNetB0+MobileNet;PCA;No;300;LinearSVM;0,9429;0,9429;0,9412;0,9118;0,9412;0,9706;0,9412;0,9412;0,9412;0,9706;0,9445;0,0158
EfficientNetB0+MobileNet;Full;No;112896;LinearSVM;0,8857;0,9429;0,9412;0,9118;0,9118;0,9706;0,9412;1;0,9412;0,9706;0,9417;0,0316
EfficientNetB0+MobileNet;PCA;No;75;RBF;0,8857;0,9429;0,9706;0,8824;0,9412;0,9706;0,9118;0,9706;0,9412;1;0,9417;0,0367
MobileNet+ResNet50;Full;No;150528;LinearSVM;0,8857;0,9714;0,9412;0,8529;0,9412;0,9412;0,9412;1;0,9412;0,9706;0,9387;0,04
MobileNet;PCA;No;40;RBF;0,9429;0,9429;0,9412;0,8529;0,9118;0,9706;0,9118;0,9706;0,9412;1;0,9386;0,0383
EfficientNetB0+MobileNet;PCA;No;300;Logistic;0,9429;0,9429;0,9412;0,9118;0,9118;0,9706;0,9412;0,9412;0,9118;0,9706;0,9386;0,0206
EfficientNetB0+MobileNet;PCA;No;40;RBF;0,8857;0,9143;0,9706;0,9118;0,9412;0,9706;0,8824;0,9706;0,9412;0,9706;0,9359;0,0336
Xception+ResNet50;Full;No;305152;Logistic;0,8857;0,9429;0,9118;0,8824;0,9706;0,9706;0,9118;1;0,9118;0,9706;0,9358;0,0386
ResNet50;Full;No;100352;LinearSVM;0,8857;0,9429;0,9118;0,8824;0,9706;0,9706;0,9118;1;0,9118;0,9706;0,9358;0,0386
ResNet50;Full;No;100352;Logistic;0,8857;0,9429;0,9118;0,8529;0,9706;0,9706;0,9118;1;0,9412;0,9706;0,9358;0,0428
EfficientNetB2;Full;No;114048;LinearSVM;0,9143;0,9143;0,9706;0,8824;0,9706;0,9706;0,9412;0,9118;0,9412;0,9412;0,9358;0,0284
EfficientNetB0+MobileNet;Full;No;112896;Logistic;0,8857;0,9429;0,9412;0,8824;0,9118;0,9706;0,9118;1;0,9412;0,9706;0,9358;0,0363
