FeatureExtraction;DimReduction;Normalization;NumberComponents;Classifier;KFold01_Accuracy;KFold02_Accuracy;KFold03_Accuracy;KFold04_Accuracy;KFold05_Accuracy;KFold06_Accuracy;KFold07_Accuracy;KFold08_Accuracy;KFold09_Accuracy;KFold10_Accuracy;Accuracy_Mean;Accuracy_SD
MobileNet+ResNet101_n_feat;ReliefF;No;300;J48;0,7143;0,6857;0,7059;0,7353;0,7941;0,6765;0,7941;0,8529;0,8529;0,7353;0,7547;0,0617
MobileNet+ResNet101_n_feat;ReliefF;No;300;RBF;0,8857;0,8857;0,9118;0,8529;0,8529;0,9118;0,9412;0,8824;0,9412;0,9412;0,9007;0,0324
MobileNet+ResNet101_n_feat;ReliefF;No;300;LinearSVM;0,8857;0,8857;0,9118;0,8824;0,8235;0,9412;0,9706;0,9118;0,9706;0,7941;0,8977;0,0545
MobileNet+ResNet101_n_feat;ReliefF;No;300;MLP;0,8;0,8857;0,8824;0,7941;0,7353;0,8824;0,8529;0,8824;0,9412;0,9412;0,8597;0,0624
MobileNet+ResNet101_n_feat;ReliefF;No;300;Logistic;0,9429;0,8857;0,9118;0,8824;0,8235;0,9118;0,9706;0,9412;0,9706;0,8529;0,9093;0,0463
MobileNet+ResNet101_n_feat;ReliefF;No;300;RandomForest;0,8286;0,8286;0,8824;0,8824;0,8235;0,9118;0,9706;0,9412;0,9412;0,9118;0,8922;0,0497
MobileNet+ResNet101_n_feat;ReliefF;No;300;Adaboost;0,8857;0,8571;0,8824;0,9118;0,8529;0,9412;0,9412;0,9706;0,8529;0,8529;0,8949;0,0415
MobileNet+ResNet101_n_feat;ReliefF;No;300;Gaussian;0,8571;0,8571;0,8824;0,8529;0,8529;0,8235;0,8824;0,8529;0,7353;0,8824;0,8479;0,0413
ResNet101+DenseNet169_n_feat;ReliefF;No;300;J48;0,6571;0,7714;0,7059;0,8235;0,8529;0,7353;0,7647;0,9412;0,7941;0,7353;0,7782;0,0763
ResNet101+DenseNet169_n_feat;ReliefF;No;300;RBF;0,8;0,8;0,8529;0,8235;0,8824;0,9118;0,8824;0,9412;0,9706;0,8235;0,8688;0,0562
ResNet101+DenseNet169_n_feat;ReliefF;No;300;LinearSVM;0,8857;0,8286;0,8529;0,7941;0,8529;0,8824;0,9118;0,9118;0,9412;0,8235;0,8685;0,0438
ResNet101+DenseNet169_n_feat;ReliefF;No;300;MLP;0,7429;0,6857;0,9118;0,8824;0,8529;0,7647;0,8824;0,9118;0,8824;0,8235;0,834;0,0739
ResNet101+DenseNet169_n_feat;ReliefF;No;300;Logistic;0,8286;0,7429;0,9118;0,8235;0,8529;0,8529;0,9118;0,8529;0,9706;0,8235;0,8571;0,0592
ResNet101+DenseNet169_n_feat;ReliefF;No;300;RandomForest;0,8571;0,8286;0,8529;0,8824;0,8529;0,9412;0,9118;0,9412;0,9412;0,8235;0,8833;0,0447
ResNet101+DenseNet169_n_feat;ReliefF;No;300;Adaboost;0,8857;0,7429;0,8235;0,8235;0,7353;0,8824;0,9706;0,8235;0,9118;0,7647;0,8364;0,0727
ResNet101+DenseNet169_n_feat;ReliefF;No;300;Gaussian;0,7714;0,8571;0,7941;0,8235;0,8824;0,8529;0,8824;0,8529;0,7353;0,7941;0,8246;0,0469
ResNet101+DenseNet121_n_feat;ReliefF;No;300;J48;0,8;0,7714;0,7941;0,7941;0,7059;0,8235;0,8529;0,7941;0,8529;0,7647;0,7954;0,0412
ResNet101+DenseNet121_n_feat;ReliefF;No;300;RBF;0,7714;0,8;0,8529;0,8529;0,8824;0,9118;0,9118;0,8235;0,9118;0,8529;0,8571;0,0462
ResNet101+DenseNet121_n_feat;ReliefF;No;300;LinearSVM;0,7714;0,8;0,8824;0,7941;0,8529;0,9118;0,9412;0,8235;0,9118;0,8529;0,8542;0,0542
ResNet101+DenseNet121_n_feat;ReliefF;No;300;MLP;0,7429;0,6571;0,8235;0,8529;0,8824;0,8529;0,9118;0,8235;0,8824;0,8235;0,8253;0,0711
ResNet101+DenseNet121_n_feat;ReliefF;No;300;Logistic;0,8286;0,7714;0,8529;0,7941;0,8824;0,8824;0,8824;0,8529;0,9412;0,8529;0,8541;0,0459
ResNet101+DenseNet121_n_feat;ReliefF;No;300;RandomForest;0,8571;0,8;0,8824;0,9412;0,8824;0,9118;0,9412;1;0,9412;0,8824;0,9039;0,0528
ResNet101+DenseNet121_n_feat;ReliefF;No;300;Adaboost;0,8286;0,8;0,8235;0,8235;0,7941;0,8235;0,9412;0,8824;0,8824;0,8235;0,8423;0,0432
ResNet101+DenseNet121_n_feat;ReliefF;No;300;Gaussian;0,8;0,8;0,7647;0,8824;0,7941;0,8529;0,9412;0,8235;0,7353;0,7353;0,8129;0,0617
ResNet101+MobileNetV2_n_feat;ReliefF;No;300;J48;0,7143;0,6857;0,8824;0,7941;0,8235;0,8235;0,7059;0,8529;0,8824;0,7941;0,7959;0,0683
ResNet101+MobileNetV2_n_feat;ReliefF;No;300;RBF;0,8286;0,8;0,9118;0,8529;0,8824;0,9118;0,9118;0,9118;0,9412;0,9118;0,8864;0,0426
ResNet101+MobileNetV2_n_feat;ReliefF;No;300;LinearSVM;0,9429;0,7714;0,8824;0,8235;0,8824;0,9118;0,8529;0,8824;0,9118;0,8529;0,8714;0,0466
ResNet101+MobileNetV2_n_feat;ReliefF;No;300;MLP;0,7714;0,8286;0,8824;0,8235;0,8529;0,8529;0,8824;0,8529;0,9412;0,8824;0,8571;0,0428
ResNet101+MobileNetV2_n_feat;ReliefF;No;300;Logistic;0,9429;0,7429;0,8824;0,8235;0,8824;0,9118;0,9118;0,8824;0,9118;0,8529;0,8745;0,0542
ResNet101+MobileNetV2_n_feat;ReliefF;No;300;RandomForest;0,8286;0,8571;0,9118;0,9118;0,9118;0,8824;0,9412;0,9118;0,9706;0,9118;0,9039;0,038
ResNet101+MobileNetV2_n_feat;ReliefF;No;300;Adaboost;0,7714;0,7714;0,8529;0,8235;0,9412;0,8235;0,7941;0,8529;0,8824;0,9118;0,8425;0,0543
ResNet101+MobileNetV2_n_feat;ReliefF;No;300;Gaussian;0,7714;0,8571;0,8824;0,8824;0,8529;0,7353;0,8824;0,8235;0,7059;0,8529;0,8246;0,0613
EfficientNetB0+MobileNet_n_feat;ReliefF;No;300;J48;0,8286;0,7714;0,8235;0,7941;0,7353;0,7059;0,7647;0,7059;0,8824;0,8529;0,7865;0,0576
EfficientNetB0+MobileNet_n_feat;ReliefF;No;300;RBF;0,8286;0,9429;0,9412;0,9118;0,8529;0,9118;0,8235;0,8824;0,8824;0,9706;0,8948;0,0472
EfficientNetB0+MobileNet_n_feat;ReliefF;No;300;LinearSVM;0,8571;0,9429;0,8824;0,9118;0,8235;0,9118;0,8824;0,9118;0,9706;0,9412;0,9035;0,0414
EfficientNetB0+MobileNet_n_feat;ReliefF;No;300;MLP;0,8571;0,9143;0,8824;0,8824;0,7941;0,8824;0,8529;0,9118;0,9412;0,9118;0,883;0,0394
EfficientNetB0+MobileNet_n_feat;ReliefF;No;300;Logistic;0,8286;0,9429;0,9118;0,9118;0,8529;0,9118;0,9118;0,9118;0,9706;0,9706;0,9124;0,0427
EfficientNetB0+MobileNet_n_feat;ReliefF;No;300;RandomForest;0,8571;0,9429;0,9412;0,8529;0,8529;0,8235;0,8529;0,9118;0,9118;0,9706;0,8918;0,0474
EfficientNetB0+MobileNet_n_feat;ReliefF;No;300;Adaboost;0,7714;0,9143;0,8529;0,8824;0,7647;0,8529;0,8529;0,9118;0,9118;0,9118;0,8627;0,0534
EfficientNetB0+MobileNet_n_feat;ReliefF;No;300;Gaussian;0,7429;0,8857;0,9118;0,7941;0,7941;0,7941;0,8824;0,9412;0,8824;0,9118;0,854;0,0632
MobileNet+ResNet50_n_feat;ReliefF;No;300;J48;0,8571;0,7429;0,8235;0,8824;0,6471;0,7647;0,8529;0,7941;0,8529;0,7647;0,7982;0,0673
MobileNet+ResNet50_n_feat;ReliefF;No;300;RBF;0,8286;0,9429;0,8824;0,8824;0,8529;0,9412;0,8824;1;0,9412;1;0,9154;0,0558
MobileNet+ResNet50_n_feat;ReliefF;No;300;LinearSVM;0,9429;0,9429;0,8529;0,9118;0,8235;1;0,8235;0,9706;0,9412;0,9118;0,9121;0,0575
MobileNet+ResNet50_n_feat;ReliefF;No;300;MLP;0,8857;0,8857;0,9412;0,7647;0,7941;0,9118;0,8235;0,9412;0,9412;0,9118;0,8801;0,061
MobileNet+ResNet50_n_feat;ReliefF;No;300;Logistic;0,9143;0,9429;0,8824;0,9118;0,7941;1;0,8529;0,9706;0,9412;0,9412;0,9151;0,0566
MobileNet+ResNet50_n_feat;ReliefF;No;300;RandomForest;0,8857;0,9143;0,8529;0,9118;0,8529;0,8824;0,9118;0,9412;0,9706;1;0,9124;0,0454
MobileNet+ResNet50_n_feat;ReliefF;No;300;Adaboost;0,9143;0,9143;0,8824;0,8824;0,8235;0,9412;0,8529;0,9412;0,9412;0,8824;0,8976;0,038
MobileNet+ResNet50_n_feat;ReliefF;No;300;Gaussian;0,8857;0,8857;0,9412;0,8529;0,8235;0,8529;0,8235;0,8824;0,9118;0,8824;0,8742;0,0351
Xception+ResNet50_n_feat;ReliefF;No;300;J48;0,8857;0,8286;0,7941;0,7941;0,7647;0,7059;0,8235;0,9118;0,8235;0,8235;0,8155;0,0548
Xception+ResNet50_n_feat;ReliefF;No;300;RBF;0,8571;0,8571;0,8824;0,8529;0,8824;0,8824;0,8529;0,9706;0,8824;0,9118;0,8832;0,0341
Xception+ResNet50_n_feat;ReliefF;No;300;LinearSVM;0,8571;0,8857;0,9118;0,8235;0,9412;0,8824;0,9118;0,9706;0,8824;0,9412;0,9008;0,0414
