ExtractionMethod;Reduction;Classification;Fold;Features;Normalization;Components;PCC;ACC;F1;ROC;ExtractionTime;ReductionTime;ClassfTrainning;ClassfPredict
Xception+ResNet50;Full;PCC;1;305152;No;305152;24;77,1429;76,4706;78,3333;114,9828;0;0;15,6721
Xception+ResNet50;Full;PCC;2;305152;No;305152;24;74,2857;66,6667;74,4565;114,9828;0;0;15,7726
Xception+ResNet50;Full;PCC;3;305152;No;305152;24;79,4118;82,0513;79,4118;114,9828;0;0;15,3822
Xception+ResNet50;Full;PCC;4;305152;No;305152;24;79,4118;84,4444;76,0714;114,9828;0;0;16,8622
Xception+ResNet50;Full;PCC;5;305152;No;305152;24;79,4118;82,0513;79,4118;114,9828;0;0;16,4454
Xception+ResNet50;Full;PCC;6;305152;No;305152;24;79,4118;80;79,5139;114,9828;0;0;17,3136
Xception+ResNet50;Full;PCC;7;305152;No;305152;24;82,3529;83,3333;82,3529;114,9828;0;0;17,5502
Xception+ResNet50;Full;PCC;8;305152;No;305152;24;79,4118;82,9268;78,4722;114,9828;0;0;18,8643
Xception+ResNet50;Full;PCC;9;305152;No;305152;24;67,6471;74,4186;65,5303;114,9828;0;0;16,5757
Xception+ResNet50;Full;PCC;10;305152;No;305152;24;82,3529;85;81,4035;114,9828;0;0;17,6439
Xception+ResNet50;Full;J48;1;305152;No;305152;0;68,5714;66,6667;69,1667;114,9828;0;8,5417;0,0061
Xception+ResNet50;Full;J48;2;305152;No;305152;0;71,4286;68,75;76,2681;114,9828;0;7,4687;0,0058
Xception+ResNet50;Full;J48;3;305152;No;305152;0;79,4118;81,0811;79,4118;114,9828;0;8,179;0,0056
Xception+ResNet50;Full;J48;4;305152;No;305152;0;85,2941;87,1795;85,3571;114,9828;0;9,5671;0,0056
Xception+ResNet50;Full;J48;5;305152;No;305152;0;61,7647;62,8571;61,7647;114,9828;0;8,4749;0,0059
Xception+ResNet50;Full;J48;6;305152;No;305152;0;67,6471;68,5714;67,7083;114,9828;0;8,8678;0,0056
Xception+ResNet50;Full;J48;7;305152;No;305152;0;76,4706;73,3333;76,4706;114,9828;0;9,5422;0,0057
Xception+ResNet50;Full;J48;8;305152;No;305152;0;88,2353;88,8889;88,1944;114,9828;0;8,844;0,0058
Xception+ResNet50;Full;J48;9;305152;No;305152;0;76,4706;80,9524;76,1364;114,9828;0;8,8317;0,0056
Xception+ResNet50;Full;J48;10;305152;No;305152;0;70,5882;72,2222;70,8772;114,9828;0;8,8546;0,0056
Xception+ResNet50;Full;RBF;1;305152;No;305152;0;88,5714;86,6667;88,3333;114,9828;0;8,5206;2,7873
Xception+ResNet50;Full;RBF;2;305152;No;305152;0;94,2857;92,3077;95,6522;114,9828;0;8,2225;2,7541
Xception+ResNet50;Full;RBF;3;305152;No;305152;0;88,2353;88,8889;88,2353;114,9828;0;8,1405;2,749
Xception+ResNet50;Full;RBF;4;305152;No;305152;0;82,3529;86,3636;79,6429;114,9828;0;8,2661;2,6025
Xception+ResNet50;Full;RBF;5;305152;No;305152;0;94,1176;94,4444;94,1176;114,9828;0;8,4127;2,7325
Xception+ResNet50;Full;RBF;6;305152;No;305152;0;94,1176;94,4444;94,0972;114,9828;0;8,1958;2,7294
Xception+ResNet50;Full;RBF;7;305152;No;305152;0;91,1765;91,4286;91,1765;114,9828;0;8,16;2,6464
Xception+ResNet50;Full;RBF;8;305152;No;305152;0;91,1765;91,8919;90,9722;114,9828;0;7,8477;2,6862
