FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_F1Score,KFold02_F1Score,KFold03_F1Score,KFold04_F1Score,KFold05_F1Score,KFold06_F1Score,KFold07_F1Score,KFold08_F1Score,KFold09_F1Score,KFold10_F1Score,F1Score_Mean,F1Score_SD
Xception+ResNet50,Full,No,305152,PCC,0.7647,0.6667,0.8205,0.8444,0.8205,0.8,0.8333,0.8293,0.7442,0.85,0.7974,0.0542
Xception+ResNet50,Full,No,305152,J48,0.6667,0.6875,0.8108,0.8718,0.6286,0.6857,0.7333,0.8889,0.8095,0.7222,0.7505,0.0849
Xception+ResNet50,Full,No,305152,RBF,0.8667,0.9231,0.8889,0.8636,0.9444,0.9444,0.9143,0.9189,0.9524,0.9,0.9117,0.03
Xception+ResNet50,Full,No,305152,LinearSVM,0.875,0.8889,0.9143,0.9091,0.9444,0.973,0.9143,1,0.9302,0.9744,0.9324,0.0381
Xception+ResNet50,Full,No,305152,MLP,0.8571,0.8889,0.9091,0.8889,0.9714,0.9143,0.875,0.9091,0.9091,0.9744,0.9097,0.0358
Xception+ResNet50,Full,No,305152,Logistic,0.875,0.9231,0.9143,0.9091,0.9714,0.973,0.9143,1,0.9302,0.9744,0.9385,0.037
Xception+ResNet50,Full,No,305152,RandomForest,0.8,0.8,0.8571,0.8372,0.9714,0.9143,0.9412,0.9143,0.9524,0.95,0.8938,0.0615
Xception+ResNet50,Full,No,305152,Adaboost,0.7143,0.7692,0.9143,0.9048,0.9444,0.8571,0.9091,0.85,0.9778,0.9474,0.8788,0.0788
Xception+ResNet50,Full,No,305152,Gaussian,0.5385,0.6667,0.8,0.5625,0.56,0.6452,0.8485,0.75,0.7179,0.625,0.6714,0.1005
VGG16+VGG19,Full,No,50176,PCC,0.6,0.5714,0.65,0.7234,0.7692,0.6341,0.7368,0.619,0.7111,0.7805,0.6796,0.07
VGG16+VGG19,Full,No,50176,J48,0.5714,0.7097,0.6667,0.7619,0.6667,0.6667,0.7027,0.6875,0.8837,0.8718,0.7189,0.0915
VGG16+VGG19,Full,No,50176,RBF,0.75,0.7586,0.8889,0.8095,0.7742,0.9189,0.8889,0.8824,0.9524,0.8947,0.8519,0.0686
VGG16+VGG19,Full,No,50176,LinearSVM,0.875,0.8276,0.9697,0.8837,0.9189,0.8889,0.8889,0.9474,0.9524,0.9231,0.9076,0.0407
VGG16+VGG19,Full,No,50176,MLP,0.6,0.8889,0.9444,0.7407,0.6667,0.6923,0.8571,0.9189,0.7857,1,0.8095,0.1258
VGG16+VGG19,Full,No,50176,Logistic,0.875,0.8276,0.9697,0.8837,0.9189,0.8889,0.8889,0.9474,0.9524,0.9231,0.9076,0.0407
VGG16+VGG19,Full,No,50176,RandomForest,0.8485,0.8889,0.8889,0.8636,0.8571,0.8485,0.8571,0.9189,0.9524,0.9474,0.8871,0.0377
VGG16+VGG19,Full,No,50176,Adaboost,0.7586,0.8,0.8235,0.8293,0.7647,0.8125,0.8,0.7368,0.9048,0.8947,0.8125,0.0519
VGG16+VGG19,Full,No,50176,Gaussian,0.7143,0.64,0.56,0.4667,0.64,0.8,0.4,0.8235,0.7368,0.6207,0.6402,0.1298
Xception,Full,No,204800,PCC,0.7568,0.7097,0.7778,0.8095,0.7179,0.7429,0.8,0.8421,0.8261,0.8,0.7783,0.0428
Xception,Full,No,204800,J48,0.7647,0.6207,0.6667,0.7143,0.65,0.7097,0.5455,0.7222,0.7619,0.7568,0.6912,0.0671
Xception,Full,No,204800,RBF,0.8125,0.8,0.8889,0.8571,0.8824,0.9143,0.8485,0.8889,0.9091,0.85,0.8652,0.0365
Xception,Full,No,204800,LinearSVM,0.8387,0.8276,0.9143,0.9091,0.9189,0.9444,0.9412,0.9231,0.8571,0.9231,0.8998,0.0403
Xception,Full,No,204800,MLP,0.8667,0.9231,0.8387,0.8889,0.9444,0.9091,0.8387,0.8824,0.8636,0.9444,0.89,0.0373
Xception,Full,No,204800,Logistic,0.7742,0.8571,0.9143,0.9091,0.9189,0.9444,0.9091,0.9231,0.8571,0.9231,0.893,0.0477
Xception,Full,No,204800,RandomForest,0.7333,0.8148,0.8571,0.8372,0.9143,0.9143,0.8387,0.8947,0.85,0.95,0.8605,0.0586
Xception,Full,No,204800,Adaboost,0.6667,0.8276,0.7879,0.8649,0.9412,0.8421,0.875,0.8108,0.85,0.8108,0.8277,0.0673
Xception,Full,No,204800,Gaussian,0.75,0.4516,0.7368,0.6316,0.6452,0.7273,0.7222,0.7568,0.75,0.8095,0.6981,0.096
VGG16,Full,No,25088,PCC,0.5946,0.5556,0.7,0.6957,0.75,0.6829,0.6977,0.6829,0.7442,0.8095,0.6913,0.0695
VGG16,Full,No,25088,J48,0.6286,0.5185,0.8571,0.7727,0.8235,0.7647,0.5882,0.8205,0.8837,0.6875,0.7345,0.1168
VGG16,Full,No,25088,RBF,0.75,0.7586,0.8889,0.8095,0.8824,0.9189,0.8889,0.8485,0.9268,0.9231,0.8596,0.0626
VGG16,Full,No,25088,LinearSVM,0.9091,0.8276,0.9143,0.8837,0.9444,0.9189,0.8889,0.8889,0.9524,0.9231,0.9051,0.0337
VGG16,Full,No,25088,MLP,0.8571,0.8276,0.8649,0.8636,0.9412,0.9474,0.8571,0.8333,0.9767,0.9744,0.8943,0.0556
VGG16,Full,No,25088,Logistic,0.8824,0.8276,0.9143,0.8837,0.9444,0.9189,0.8889,0.8889,0.9524,0.9231,0.9025,0.0344
VGG16,Full,No,25088,RandomForest,0.7097,0.8571,0.8649,0.8571,0.8485,0.8571,0.7879,0.9714,0.9767,0.9444,0.8675,0.0778
VGG16,Full,No,25088,Adaboost,0.7097,0.7586,0.8485,0.7895,0.8235,0.8235,0.9143,0.9189,0.878,0.9231,0.8388,0.0685
VGG16,Full,No,25088,Gaussian,0.6667,0.6087,0.6429,0.3704,0.7586,0.7742,0.5385,0.8333,0.6857,0.6452,0.6524,0.1244
VGG19,Full,No,25088,PCC,0.5641,0.55,0.6829,0.6222,0.7619,0.6316,0.7143,0.6667,0.6667,0.65,0.651,0.0606
VGG19,Full,No,25088,J48,0.6667,0.7692,0.8108,0.7143,0.6667,0.8125,0.7879,0.75,0.9048,0.9048,0.7788,0.0801
VGG19,Full,No,25088,RBF,0.7097,0.7857,0.9143,0.8205,0.7742,0.8889,0.8889,0.8824,0.9302,0.8718,0.8467,0.0674
VGG19,Full,No,25088,LinearSVM,0.8387,0.8276,0.9412,0.8696,0.9189,0.8889,0.8889,0.9474,0.9545,0.9,0.8976,0.0417
