FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_ROCScore,KFold02_ROCScore,KFold03_ROCScore,KFold04_ROCScore,KFold05_ROCScore,KFold06_ROCScore,KFold07_ROCScore,KFold08_ROCScore,KFold09_ROCScore,KFold10_ROCScore,ROCScore_Mean,ROCScore_SD
Xception,Full,No,204800,PCC,0.7667,0.7844,0.7647,0.7464,0.6765,0.7361,0.7941,0.8194,0.7235,0.7544,0.7566,0.0379
Xception,Full,No,204800,J48,0.7833,0.7011,0.6471,0.625,0.5882,0.7431,0.5588,0.7049,0.697,0.7351,0.6784,0.068
Xception,Full,No,204800,RBF,0.8333,0.8696,0.8824,0.8071,0.8824,0.9132,0.8529,0.8819,0.8712,0.814,0.8608,0.0319
Xception,Full,No,204800,LinearSVM,0.8583,0.8913,0.9118,0.8571,0.9118,0.941,0.9412,0.9062,0.8258,0.907,0.8951,0.0356
Xception,Full,No,204800,MLP,0.8833,0.9565,0.8529,0.8214,0.9412,0.9167,0.8529,0.8854,0.8068,0.9474,0.8865,0.0504
Xception,Full,No,204800,Logistic,0.8,0.913,0.9118,0.8571,0.9118,0.941,0.9118,0.9062,0.8258,0.907,0.8885,0.0429
Xception,Full,No,204800,RandomForest,0.7667,0.8714,0.8529,0.7714,0.9118,0.9132,0.8529,0.8785,0.8447,0.9333,0.8597,0.0531
Xception,Full,No,204800,Adaboost,0.7083,0.8913,0.7941,0.8643,0.9412,0.8194,0.8824,0.7917,0.8447,0.7947,0.8332,0.0625
Xception,Full,No,204800,Gaussian,0.775,0.5308,0.7059,0.5857,0.6765,0.7396,0.7059,0.7326,0.7159,0.7474,0.6915,0.0724
VGG16,Full,No,25088,PCC,0.5917,0.6123,0.6471,0.5429,0.7059,0.6076,0.6176,0.6076,0.6553,0.7474,0.6335,0.0556
VGG16,Full,No,25088,J48,0.6417,0.6178,0.8529,0.675,0.8235,0.7674,0.5882,0.7882,0.8485,0.7228,0.7326,0.0928
VGG16,Full,No,25088,RBF,0.775,0.8279,0.8824,0.7464,0.8824,0.9097,0.8824,0.8576,0.9318,0.907,0.8603,0.057
VGG16,Full,No,25088,LinearSVM,0.925,0.8913,0.9118,0.8321,0.9412,0.9097,0.8824,0.8819,0.9545,0.907,0.9037,0.0328
VGG16,Full,No,25088,MLP,0.875,0.8913,0.8529,0.7964,0.9412,0.9375,0.8529,0.8229,0.9773,0.9667,0.8914,0.0588
VGG16,Full,No,25088,Logistic,0.9,0.8913,0.9118,0.8321,0.9412,0.9097,0.8824,0.8819,0.9545,0.907,0.9012,0.032
VGG16,Full,No,25088,RandomForest,0.7417,0.913,0.8529,0.8071,0.8529,0.8542,0.7941,0.9722,0.9773,0.9474,0.8713,0.0754
VGG16,Full,No,25088,Adaboost,0.7417,0.8279,0.8529,0.7679,0.8235,0.8264,0.9118,0.9097,0.8674,0.907,0.8436,0.0555
VGG16,Full,No,25088,Gaussian,0.725,0.7047,0.7059,0.5536,0.7941,0.8021,0.6471,0.8229,0.7311,0.6965,0.7183,0.0755
VGG19,Full,No,25088,PCC,0.5417,0.5888,0.6176,0.4571,0.7059,0.5833,0.6471,0.5764,0.5076,0.5754,0.5801,0.0661
VGG19,Full,No,25088,J48,0.6917,0.8297,0.7941,0.625,0.6765,0.8299,0.7941,0.7708,0.8902,0.8667,0.7769,0.0822
VGG19,Full,No,25088,RBF,0.7417,0.8496,0.9118,0.7929,0.7941,0.8819,0.8824,0.8854,0.9129,0.8474,0.85,0.0541
VGG19,Full,No,25088,LinearSVM,0.8583,0.8913,0.9412,0.7857,0.9118,0.8819,0.8824,0.9375,0.9356,0.8737,0.8899,0.0444
VGG19,Full,No,25088,MLP,0.8583,0.913,0.9118,0.7964,0.8824,0.9375,0.8529,0.8472,0.8939,0.9333,0.8827,0.042
VGG19,Full,No,25088,Logistic,0.8583,0.8913,0.9412,0.7607,0.9118,0.8819,0.8824,0.9375,0.9356,0.9404,0.8941,0.0526
VGG19,Full,No,25088,RandomForest,0.8083,0.913,0.9118,0.8321,0.7059,0.9132,0.9118,0.8819,0.9773,0.8737,0.8729,0.0714
VGG19,Full,No,25088,Adaboost,0.7833,0.913,0.8824,0.7464,0.8529,0.8889,0.8529,0.8819,0.9773,0.8474,0.8627,0.0611
VGG19,Full,No,25088,Gaussian,0.7583,0.683,0.6176,0.6071,0.6765,0.7465,0.6471,0.8264,0.7348,0.6246,0.6922,0.0685
ResNet50,Full,No,100352,PCC,0.725,0.6159,0.7353,0.7357,0.7941,0.7326,0.8529,0.8472,0.697,0.814,0.755,0.0693
ResNet50,Full,No,100352,J48,0.6917,0.8514,0.8235,0.7929,0.7353,0.7049,0.7941,0.8785,0.8258,0.6561,0.7754,0.0705
ResNet50,Full,No,100352,RBF,0.9167,0.9348,0.8529,0.7964,0.9412,0.9688,0.8235,0.9375,0.9129,0.8737,0.8958,0.0537
ResNet50,Full,No,100352,LinearSVM,0.8917,0.9565,0.9118,0.8571,0.9706,0.9688,0.9118,1,0.9129,0.9667,0.9348,0.042
ResNet50,Full,No,100352,MLP,0.9167,0.9783,0.9118,0.7964,0.9706,0.8819,0.8824,0.9062,0.9545,0.907,0.9106,0.0498
ResNet50,Full,No,100352,Logistic,0.8917,0.9565,0.9118,0.8214,0.9706,0.9688,0.9118,1,0.9545,0.9667,0.9354,0.0493
ResNet50,Full,No,100352,RandomForest,0.85,0.8714,0.9118,0.8321,0.9412,0.9132,0.9118,0.9722,0.8902,0.8544,0.8948,0.0415
ResNet50,Full,No,100352,Adaboost,0.8083,0.8913,0.9118,0.8571,0.9706,0.8542,0.8529,0.9375,0.9129,0.8474,0.8844,0.0465
ResNet50,Full,No,100352,Gaussian,0.6667,0.7464,0.7647,0.6536,0.6765,0.684,0.8529,0.684,0.6705,0.6895,0.7089,0.0585
ResNet101,Full,No,100352,PCC,0.6583,0.6558,0.6471,0.7107,0.7647,0.7326,0.7647,0.7569,0.6136,0.7877,0.7092,0.058
ResNet101,Full,No,100352,J48,0.6917,0.8496,0.6765,0.7571,0.7941,0.7674,0.7647,0.7292,0.8864,0.807,0.7724,0.0621
ResNet101,Full,No,100352,RBF,0.8417,0.9348,0.9118,0.7714,0.9118,0.9097,0.9118,0.9375,0.9129,0.8544,0.8898,0.0493
ResNet101,Full,No,100352,LinearSVM,0.875,0.913,0.9706,0.8571,0.9118,0.9097,0.9118,0.9688,0.9545,0.9404,0.9213,0.0358
ResNet101,Full,No,100352,MLP,0.7,0.8732,0.9412,0.7357,0.8529,0.9444,0.9412,0.9722,0.9545,0.8544,0.877,0.0896
