FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_F1Score,KFold02_F1Score,KFold03_F1Score,KFold04_F1Score,KFold05_F1Score,KFold06_F1Score,KFold07_F1Score,KFold08_F1Score,KFold09_F1Score,KFold10_F1Score,F1Score_Mean,F1Score_SD
MobileNet+ResNet101_n_feat,ReliefF,No,300,PCC,0.6667,0.6471,0.7879,0.8649,0.8571,0.8108,0.8125,0.8333,0.8511,0.8000,0.7931,0.0723
MobileNet+ResNet101_n_feat,ReliefF,No,300,J48,0.7222,0.6452,0.7500,0.7907,0.8000,0.7027,0.8000,0.8649,0.8889,0.7805,0.7745,0.0693
MobileNet+ResNet101_n_feat,ReliefF,No,300,RBF,0.8667,0.8462,0.9091,0.8837,0.8571,0.9091,0.9444,0.8889,0.9545,0.9444,0.9004,0.0365
MobileNet+ResNet101_n_feat,ReliefF,No,300,LinearSVM,0.8824,0.8571,0.9091,0.9091,0.8235,0.9444,0.9714,0.9189,0.9767,0.8000,0.8993,0.0561
MobileNet+ResNet101_n_feat,ReliefF,No,300,MLP,0.8000,0.8571,0.8824,0.8372,0.7429,0.8889,0.8718,0.8947,0.9545,0.9474,0.8677,0.0604
MobileNet+ResNet101_n_feat,ReliefF,No,300,Logistic,0.9375,0.8462,0.9091,0.9091,0.8235,0.9143,0.9714,0.9444,0.9767,0.8649,0.9097,0.0488
MobileNet+ResNet101_n_feat,ReliefF,No,300,RandomForest,0.8000,0.7857,0.8824,0.9048,0.8235,0.9143,0.9714,0.9444,0.9545,0.9189,0.8900,0.0623
MobileNet+ResNet101_n_feat,ReliefF,No,300,Adaboost,0.8667,0.8148,0.8750,0.9302,0.8571,0.9412,0.9412,0.9714,0.8837,0.8571,0.8939,0.0469
MobileNet+ResNet101_n_feat,ReliefF,No,300,Gaussian,0.8148,0.8000,0.8667,0.8718,0.8387,0.8125,0.8750,0.8387,0.7429,0.8824,0.8343,0.0411
ResNet101+DenseNet169_n_feat,ReliefF,No,300,PCC,0.8485,0.6667,0.7273,0.8718,0.8889,0.8333,0.8387,0.8205,0.8696,0.8333,0.8199,0.0660
ResNet101+DenseNet169_n_feat,ReliefF,No,300,J48,0.6667,0.6923,0.7368,0.8571,0.8276,0.7429,0.7778,0.9412,0.8293,0.7692,0.7841,0.0777
ResNet101+DenseNet169_n_feat,ReliefF,No,300,RBF,0.7742,0.7586,0.8571,0.8500,0.8889,0.9143,0.8824,0.9412,0.9767,0.8421,0.8686,0.0647
