FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_ROCScore,KFold02_ROCScore,KFold03_ROCScore,KFold04_ROCScore,KFold05_ROCScore,KFold06_ROCScore,KFold07_ROCScore,KFold08_ROCScore,KFold09_ROCScore,KFold10_ROCScore,ROCScore_Mean,ROCScore_SD
MobileNet+ResNet101_n_feat,ReliefF,No,300,PCC,0.7250,0.7192,0.7941,0.8643,0.8529,0.7917,0.8235,0.8229,0.7462,0.8018,0.7942,0.0478
MobileNet+ResNet101_n_feat,ReliefF,No,300,J48,0.7333,0.7210,0.7059,0.7107,0.7941,0.6736,0.7941,0.8507,0.8295,0.7211,0.7534,0.0561
MobileNet+ResNet101_n_feat,ReliefF,No,300,RBF,0.8833,0.8931,0.9118,0.8321,0.8529,0.9167,0.9412,0.8819,0.9356,0.9474,0.8996,0.0362
MobileNet+ResNet101_n_feat,ReliefF,No,300,LinearSVM,0.9000,0.9130,0.9118,0.8571,0.8235,0.9410,0.9706,0.9097,0.9773,0.8018,0.9006,0.0551
MobileNet+ResNet101_n_feat,ReliefF,No,300,MLP,0.8167,0.9130,0.8824,0.7714,0.7353,0.8819,0.8529,0.8785,0.9356,0.9404,0.8608,0.0645
MobileNet+ResNet101_n_feat,ReliefF,No,300,Logistic,0.9500,0.8931,0.9118,0.8571,0.8235,0.9132,0.9706,0.9410,0.9773,0.8544,0.9092,0.0494
MobileNet+ResNet101_n_feat,ReliefF,No,300,RandomForest,0.8250,0.8496,0.8824,0.8679,0.8235,0.9132,0.9706,0.9410,0.9356,0.9140,0.8923,0.0480
MobileNet+ResNet101_n_feat,ReliefF,No,300,Adaboost,0.8833,0.8714,0.8824,0.8929,0.8529,0.9444,0.9412,0.9722,0.8485,0.8614,0.8951,0.0406
MobileNet+ResNet101_n_feat,ReliefF,No,300,Gaussian,0.8417,0.8514,0.8824,0.8536,0.8529,0.8299,0.8824,0.8611,0.7955,0.8947,0.8545,0.0274
ResNet101+DenseNet169_n_feat,ReliefF,No,300,PCC,0.8667,0.7409,0.7353,0.8536,0.8824,0.8229,0.8529,0.7882,0.7879,0.8281,0.8159,0.0486
ResNet101+DenseNet169_n_feat,ReliefF,No,300,J48,0.6750,0.7663,0.7059,0.8071,0.8529,0.7361,0.7647,0.9444,0.8030,0.7281,0.7784,0.0743
ResNet101+DenseNet169_n_feat,ReliefF,No,300,RBF,0.8000,0.8279,0.8529,0.8179,0.8824,0.9132,0.8824,0.9444,0.9773,0.8211,0.8719,0.0559
ResNet101+DenseNet169_n_feat,ReliefF,No,300,LinearSVM,0.9000,0.8496,0.8529,0.7821,0.8529,0.8819,0.9118,0.9132,0.9545,0.8281,0.8727,0.0471
ResNet101+DenseNet169_n_feat,ReliefF,No,300,MLP,0.7583,0.7609,0.9118,0.8786,0.8529,0.7639,0.8824,0.9062,0.8902,0.8211,0.8426,0.0588
ResNet101+DenseNet169_n_feat,ReliefF,No,300,Logistic,0.8333,0.7446,0.9118,0.8071,0.8529,0.8507,0.9118,0.8542,0.9773,0.8281,0.8572,0.0609
ResNet101+DenseNet169_n_feat,ReliefF,No,300,RandomForest,0.8583,0.8297,0.8529,0.8571,0.8529,0.9410,0.9118,0.9444,0.9356,0.8211,0.8805,0.0452
