method,cnn,reduction,classifier,features,Components,acc,f1,roc
Xception_Full_PCC,Xception,Full,PCC,204800.0,Full,75.7395,77.8273,75.6624
Xception_Full_J48,Xception,Full,J48,204800.0,Full,67.8067,69.1237,67.8351
Xception_Full_RBF,Xception,Full,RBF,204800.0,Full,85.9832,86.5164,86.0807
Xception_Full_LinearSVM,Xception,Full,LinearSVM,204800.0,Full,89.4958,89.9751,89.5148
Xception_Full_MLP,Xception,Full,MLP,204800.0,Full,88.8739,89.0002,88.6461
Xception_Full_Logistic,Xception,Full,Logistic,204800.0,Full,88.9160,89.3046,88.8548
Xception_Full_RandomForest,Xception,Full,RandomForest,204800.0,Full,85.9916,86.0452,85.9682
Xception_Full_Adaboost,Xception,Full,Adaboost,204800.0,Full,82.7731,82.7690,83.3212
Xception_Full_Gaussian,Xception,Full,Gaussian,204800.0,Full,69.0336,69.8097,69.1525
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F2,67.6471,69.5798,67.2752
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F10,81.1765,83.3987,80.1044
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F20,85.5462,86.0389,85.5902
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F30,85.2941,85.5510,85.0713
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F40,83.8235,85.2814,82.9898
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F50,84.0756,85.1037,84.4994
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F75,82.6050,83.0369,83.2598
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F100,77.9412,79.3651,76.8067
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F150,76.8067,77.7341,78.0393
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F200,73.5294,76.6166,73.8889
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F250,76.8067,79.0086,77.3684
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F300,73.5294,76.4706,72.8174
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F350,nan,nan,nan
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F400,nan,nan,nan
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F450,nan,nan,nan
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F500,nan,nan,nan
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F550,nan,nan,nan
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F600,nan,nan,nan
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F700,nan,nan,nan
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F800,nan,nan,nan
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F900,nan,nan,nan
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F1000,nan,nan,nan
Xception_PCA_J48,Xception,PCA,J48,204800.0,F2,55.8824,57.5188,56.5644
Xception_PCA_J48,Xception,PCA,J48,204800.0,F10,79.4118,78.3101,78.5516
Xception_PCA_J48,Xception,PCA,J48,204800.0,F20,80.8824,79.3939,80.6323
Xception_PCA_J48,Xception,PCA,J48,204800.0,F30,77.9412,79.4737,77.9412
Xception_PCA_J48,Xception,PCA,J48,204800.0,F40,75.0000,76.5368,74.4591
Xception_PCA_J48,Xception,PCA,J48,204800.0,F50,73.5294,75.1323,72.4469
Xception_PCA_J48,Xception,PCA,J48,204800.0,F75,70.5882,69.7768,70.7107
Xception_PCA_J48,Xception,PCA,J48,204800.0,F100,72.0588,71.3813,71.7525
Xception_PCA_J48,Xception,PCA,J48,204800.0,F150,71.0084,72.0085,71.1275
Xception_PCA_J48,Xception,PCA,J48,204800.0,F200,69.5798,71.1981,71.3448
Xception_PCA_J48,Xception,PCA,J48,204800.0,F250,66.1765,69.3750,66.2888
Xception_PCA_J48,Xception,PCA,J48,204800.0,F300,58.8235,62.2807,57.9018
Xception_PCA_J48,Xception,PCA,J48,204800.0,F350,nan,nan,nan
Xception_PCA_J48,Xception,PCA,J48,204800.0,F400,nan,nan,nan
Xception_PCA_J48,Xception,PCA,J48,204800.0,F450,nan,nan,nan
Xception_PCA_J48,Xception,PCA,J48,204800.0,F500,nan,nan,nan
Xception_PCA_J48,Xception,PCA,J48,204800.0,F550,nan,nan,nan
Xception_PCA_J48,Xception,PCA,J48,204800.0,F600,nan,nan,nan
Xception_PCA_J48,Xception,PCA,J48,204800.0,F700,nan,nan,nan
Xception_PCA_J48,Xception,PCA,J48,204800.0,F800,nan,nan,nan
Xception_PCA_J48,Xception,PCA,J48,204800.0,F900,nan,nan,nan
Xception_PCA_J48,Xception,PCA,J48,204800.0,F1000,nan,nan,nan
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F2,68.1093,66.8357,68.6409
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F10,83.8235,84.9243,83.8235
Xception_PCA_RBF,Xception,PCA,RBF,204800.0,F20,86.7647,88.0885,86.7647
