method,cnn,reduction,classifier,features,F002,F010,F020,F030,F040,F050,F075,F100,F150,F200,F250,F300,Full,Mean,Sd,MedianQ2,Q1_25%,Q3_75%,Max,Min 
EfficientNetB1+EfficientNetB5_PCA_PCC,EfficientNetB1+EfficientNetB5,PCA,PCC,542720.0,73.9076,81.1765,80.0000,79.4118,83.8235,82.3529,82.3529,82.3529,85.5042,85.2941,83.8235,82.3529,84.7983,81.5343,6.1557,82.3529,77.1429,85.2941,100.0000,64.7059
EfficientNetB1+EfficientNetB5_PCA_J48,EfficientNetB1+EfficientNetB5,PCA,J48,542720.0,69.5798,77.9412,75.0000,72.0588,77.9412,75.0000,70.5882,76.4706,71.0504,73.5294,73.5294,71.0084,79.5546,73.3508,6.7723,73.5294,67.6471,79.4118,91.1765,58.8235
EfficientNetB1+EfficientNetB5_PCA_RBF,EfficientNetB1+EfficientNetB5,PCA,RBF,542720.0,75.3782,83.8235,83.8235,85.2941,86.9327,86.7647,88.2353,86.9748,91.1765,91.1765,91.1765,89.7059,90.0588,86.7927,6.8415,85.7143,82.3529,91.2395,97.1429,61.7647
EfficientNetB1+EfficientNetB5_PCA_LinearSVM,EfficientNetB1+EfficientNetB5,PCA,LinearSVM,542720.0,73.9076,85.2941,88.2353,89.7059,86.9748,85.2941,81.1765,88.4454,92.7731,88.4454,92.6471,92.7731,91.7983,86.8382,6.8372,86.9748,82.3529,91.2395,97.1429,64.7059
EfficientNetB1+EfficientNetB5_PCA_MLP,EfficientNetB1+EfficientNetB5,PCA,MLP,542720.0,76.4706,82.3529,82.3529,83.8235,82.3529,80.8824,83.8235,80.8824,79.4118,76.8067,70.5882,70.5882,90.0420,78.2654,7.5585,79.4118,73.5294,82.4789,94.1176,52.9412
EfficientNetB1+EfficientNetB5_PCA_Logistic,EfficientNetB1+EfficientNetB5,PCA,Logistic,542720.0,73.5294,85.2941,88.4033,86.7647,88.4454,88.2353,82.5631,88.4033,89.8740,89.8740,94.1176,92.7731,91.5042,86.9874,6.8690,88.2353,82.3529,91.4286,97.0588,64.7059
EfficientNetB1+EfficientNetB5_PCA_RandomForest,EfficientNetB1+EfficientNetB5,PCA,RandomForest,542720.0,73.5294,79.7059,82.3529,85.2941,84.0756,82.3529,82.6050,85.2941,81.1765,77.9412,75.3782,73.5294,90.6471,80.2423,7.2179,80.0000,74.2857,85.2941,100.0000,64.7059
EfficientNetB1+EfficientNetB5_PCA_Adaboost,EfficientNetB1+EfficientNetB5,PCA,Adaboost,542720.0,68.5714,78.2773,82.3529,81.1765,79.4118,84.0756,82.3529,85.2941,82.3529,78.2773,77.9412,79.7059,89.1933,80.0154,7.3129,80.0000,75.9244,85.2941,94.1176,58.8235
EfficientNetB1+EfficientNetB5_PCA_Gaussian,EfficientNetB1+EfficientNetB5,PCA,Gaussian,542720.0,75.0000,83.8235,82.3529,75.0000,70.5882,68.1093,64.7059,65.2101,67.6471,68.1093,66.6807,67.6471,79.8319,71.1583,7.6318,70.5882,65.4622,76.4706,91.1765,52.9412
EfficientNetB1+EfficientNetB5_UMAP_PCC,EfficientNetB1+EfficientNetB5,UMAP,PCC,542720.0,79.7059,79.4118,82.6050,79.4118,81.1765,81.4286,81.4286,79.7059,81.1345,82.5631,79.7059,84.0756,84.7983,82.5063,6.4955,80.0000,77.1429,88.2353,94.1176,70.5882
EfficientNetB1+EfficientNetB5_UMAP_J48,EfficientNetB1+EfficientNetB5,UMAP,J48,542720.0,73.5294,75.3362,82.6050,79.4118,79.4118,77.9412,79.7059,79.4118,79.4118,81.1765,76.4706,82.6050,79.5546,78.8235,6.0601,79.4118,73.5294,82.8571,91.1765,61.7647
EfficientNetB1+EfficientNetB5_UMAP_RBF,EfficientNetB1+EfficientNetB5,UMAP,RBF,542720.0,76.4706,73.5294,73.5294,73.5294,76.4706,73.5294,75.0000,73.5294,73.5294,76.4706,75.0000,73.5294,90.0588,76.2262,6.2263,73.5294,71.4286,79.4118,91.1765,64.7059
EfficientNetB1+EfficientNetB5_UMAP_LinearSVM,EfficientNetB1+EfficientNetB5,UMAP,LinearSVM,542720.0,72.0588,76.4706,76.4706,75.0000,77.9412,76.4706,76.4706,76.4706,76.4706,76.4706,75.0000,76.4706,91.7983,77.3277,7.0692,76.4706,71.4286,85.2941,91.1765,64.7059
EfficientNetB1+EfficientNetB5_UMAP_MLP,EfficientNetB1+EfficientNetB5,UMAP,MLP,542720.0,76.4706,82.3529,80.8824,76.8067,79.4118,77.9412,73.9076,75.0000,69.5378,67.6471,63.7815,65.2101,90.0420,74.5406,10.3156,75.3782,70.5882,80.1471,91.1765,34.2857
EfficientNetB1+EfficientNetB5_UMAP_Logistic,EfficientNetB1+EfficientNetB5,UMAP,Logistic,542720.0,70.5882,82.3529,82.3529,83.8235,83.8235,82.3529,85.2941,83.8235,82.3529,84.0336,83.8235,82.6050,91.5042,82.5273,6.9832,82.3529,77.1429,88.5714,94.2857,64.7059
EfficientNetB1+EfficientNetB5_UMAP_RandomForest,EfficientNetB1+EfficientNetB5,UMAP,RandomForest,542720.0,80.8824,82.8571,88.2353,85.5042,85.5462,85.2941,88.2353,85.2941,85.5042,86.7647,89.8740,86.9748,90.6471,85.4636,6.4517,85.2941,82.3529,91.1765,97.0588,64.7059
EfficientNetB1+EfficientNetB5_UMAP_Adaboost,EfficientNetB1+EfficientNetB5,UMAP,Adaboost,542720.0,76.4706,82.3529,85.2941,83.8235,82.6050,82.3529,85.5042,85.2941,83.8235,85.5462,83.8235,82.6050,89.1933,82.5539,6.9126,82.3529,79.4118,88.2353,97.0588,61.7647
