method,cnn,reduction,classifier,features,Components,mean,std,median,Q1_25%,Q2_75%,min,max
Xception_Full_PCC,Xception,Full,PCC,204800.0,Full,75.7395,3.8580,76.4706,74.2857,76.4706,82.3529,67.6471
Xception_Full_J48,Xception,Full,J48,204800.0,Full,67.8067,6.7564,69.5798,64.7059,72.7941,77.1429,55.8824
Xception_Full_RBF,Xception,Full,RBF,204800.0,Full,85.9832,3.2255,86.7647,82.8571,88.2353,91.1765,82.3529
Xception_Full_LinearSVM,Xception,Full,LinearSVM,204800.0,Full,89.4958,3.8763,91.1765,86.3445,91.1765,94.1176,82.3529
Xception_Full_MLP,Xception,Full,MLP,204800.0,Full,88.8739,4.3595,88.4033,85.2941,93.3823,94.2857,82.3529
Xception_Full_Logistic,Xception,Full,Logistic,204800.0,Full,88.9160,4.4191,91.1765,88.3193,91.1765,94.1176,80.0000
Xception_Full_RandomForest,Xception,Full,RandomForest,204800.0,Full,85.9916,5.3822,85.5042,83.0882,90.4412,94.1176,77.1429
Xception_Full_Adaboost,Xception,Full,Adaboost,204800.0,Full,82.7731,6.1145,82.3529,79.4118,85.6093,94.1176,71.4286
Xception_Full_Gaussian,Xception,Full,Gaussian,204800.0,Full,69.0336,8.0612,70.5882,68.3824,73.5294,77.1429,51.4286
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F0002,66.3529,9.6627,67.6471,62.0378,72.7941,79.4118,50.0000
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F0010,81.8908,3.7372,81.1765,79.4118,82.3529,88.2353,77.1429
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F0020,83.6134,6.8391,85.5462,82.3529,88.2353,91.1765,70.5882
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F0030,84.7983,6.1380,85.2941,79.5589,88.2353,97.0588,76.4706
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F0040,82.7311,5.3201,83.8235,82.3529,85.7143,88.2353,73.5294
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F0050,83.0504,5.6411,84.0756,80.5882,85.2941,91.1765,70.5882
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F0075,80.6891,5.7883,82.6050,80.1471,84.6848,85.2941,67.6471
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F0100,79.2521,4.8077,77.9412,76.4706,81.7647,88.2353,73.5294
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F0150,79.2605,6.9051,76.8067,73.7185,83.8235,94.1176,73.5294
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F0200,76.0756,7.4136,73.5294,73.5294,80.8823,88.2353,62.8571
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F0250,75.1429,5.5948,76.8067,73.7185,79.4118,79.4118,61.7647
Xception_PCA_PCC,Xception,PCA,PCC,204800.0,F0300,72.2689,7.0962,73.5294,67.6681,75.7353,85.2941,61.7647
Xception_PCA_J48,Xception,PCA,J48,204800.0,F0002,57.9244,7.6425,55.8824,53.2773,61.7647,73.5294,47.0588
Xception_PCA_J48,Xception,PCA,J48,204800.0,F0010,78.3697,5.8401,79.4118,73.5294,82.7311,85.2941,70.5882
Xception_PCA_J48,Xception,PCA,J48,204800.0,F0020,79.2437,5.5785,80.8824,75.5672,82.7311,85.2941,70.5882
Xception_PCA_J48,Xception,PCA,J48,204800.0,F0030,77.5042,6.1893,77.9412,74.2647,82.3529,85.2941,65.7143
Xception_PCA_J48,Xception,PCA,J48,204800.0,F0040,74.8740,4.6947,75.0000,71.4286,78.6765,82.3529,67.6471
Xception_PCA_J48,Xception,PCA,J48,204800.0,F0050,74.8823,7.6498,73.5294,70.5882,81.7647,85.2941,60.0000
Xception_PCA_J48,Xception,PCA,J48,204800.0,F0075,70.7731,3.9764,70.5882,68.3824,73.5294,76.4706,62.8571
Xception_PCA_J48,Xception,PCA,J48,204800.0,F0100,70.7983,6.3823,72.0588,67.8782,75.7353,79.4118,60.0000
Xception_PCA_J48,Xception,PCA,J48,204800.0,F0150,70.7563,5.5572,71.0084,68.3824,73.0042,82.3529,61.7647
Xception_PCA_J48,Xception,PCA,J48,204800.0,F0200,70.1765,3.5829,69.5798,67.6471,73.0042,76.4706,64.7059
Xception_PCA_J48,Xception,PCA,J48,204800.0,F0250,67.2185,4.9542,66.1765,62.5000,71.2185,74.2857,61.7647
